record_id,model_label,domain_pair,integration_level,has_quoted_claim
F001_42080121,DeepSeek-V4-Flash,bio_psych,directional,yes
F001_42080121,DeepSeek-V4-Flash,triadic,partial,yes
F002_41976799,DeepSeek-V4-Flash,bio_psych,descriptive,yes
F004_41492309,DeepSeek-V4-Flash,bio_psych,descriptive,yes
F006_41676335,DeepSeek-V4-Flash,bio_psych,directional,yes
F006_41676335,DeepSeek-V4-Flash,psych_social,directional,yes
F006_41676335,DeepSeek-V4-Flash,bio_social,directional,yes
F006_41676335,DeepSeek-V4-Flash,triadic,descriptive,yes
F007_41436105,DeepSeek-V4-Flash,bio_psych,directional,yes
F007_41436105,DeepSeek-V4-Flash,psych_social,descriptive,yes
F007_41436105,DeepSeek-V4-Flash,bio_social,directional,yes
F007_41436105,DeepSeek-V4-Flash,triadic,partial,yes
F008_41409397,DeepSeek-V4-Flash,bio_psych,directional,yes
F009_41356326,DeepSeek-V4-Flash,bio_psych,directional,yes
F010_41221343,DeepSeek-V4-Flash,bio_psych,directional,yes
F010_41221343,DeepSeek-V4-Flash,triadic,partial,yes
F011_41146083,DeepSeek-V4-Flash,psych_social,descriptive,yes
F012_40624502,DeepSeek-V4-Flash,psych_social,descriptive,yes
F014_40300000,DeepSeek-V4-Flash,psych_social,descriptive,yes
F015_40276470,DeepSeek-V4-Flash,bio_psych,directional,yes
F016_40248751,DeepSeek-V4-Flash,bio_psych,directional,yes
F016_40248751,DeepSeek-V4-Flash,psych_social,directional,yes
F018_39326720,DeepSeek-V4-Flash,bio_psych,directional,yes
F018_39326720,DeepSeek-V4-Flash,psych_social,directional,yes
F018_39326720,DeepSeek-V4-Flash,triadic,partial,yes
F019_39834401,DeepSeek-V4-Flash,bio_psych,directional,yes
F022_39468650,DeepSeek-V4-Flash,bio_psych,directional,yes
F023_39200209,DeepSeek-V4-Flash,bio_psych,mechanistic,yes
F023_39200209,DeepSeek-V4-Flash,psych_social,descriptive,yes
F023_39200209,DeepSeek-V4-Flash,triadic,partial,yes
F024_39073865,DeepSeek-V4-Flash,bio_psych,descriptive,yes
F025_41188763,DeepSeek-V4-Flash,bio_psych,directional,yes
F025_41188763,DeepSeek-V4-Flash,psych_social,descriptive,yes
F025_41188763,DeepSeek-V4-Flash,bio_social,directional,yes
F025_41188763,DeepSeek-V4-Flash,triadic,partial,yes
F026_40868970,DeepSeek-V4-Flash,bio_psych,directional,yes
F026_40868970,DeepSeek-V4-Flash,psych_social,directional,yes
F026_40868970,DeepSeek-V4-Flash,triadic,partial,yes
F027_41783653,DeepSeek-V4-Flash,bio_psych,descriptive,yes
F027_41783653,DeepSeek-V4-Flash,psych_social,descriptive,yes
F027_41783653,DeepSeek-V4-Flash,bio_social,descriptive,yes
F027_41783653,DeepSeek-V4-Flash,triadic,partial,yes
F028_42403485,DeepSeek-V4-Flash,bio_psych,directional,yes
F029_41930351,DeepSeek-V4-Flash,bio_psych,directional,yes
F029_41930351,DeepSeek-V4-Flash,psych_social,directional,yes
F029_41930351,DeepSeek-V4-Flash,triadic,partial,yes
F030_41897178,DeepSeek-V4-Flash,bio_psych,directional,yes
F030_41897178,DeepSeek-V4-Flash,psych_social,directional,yes
F030_41897178,DeepSeek-V4-Flash,bio_social,descriptive,yes
F030_41897178,DeepSeek-V4-Flash,triadic,partial,yes
F031_41271275,DeepSeek-V4-Flash,bio_psych,directional,yes
F031_41271275,DeepSeek-V4-Flash,psych_social,directional,yes
F031_41271275,DeepSeek-V4-Flash,triadic,partial,yes
F033_41324834,DeepSeek-V4-Flash,bio_psych,directional,yes
F033_41324834,DeepSeek-V4-Flash,psych_social,directional,yes
F033_41324834,DeepSeek-V4-Flash,bio_social,directional,yes
F033_41324834,DeepSeek-V4-Flash,triadic,partial,yes
F034_41268985,DeepSeek-V4-Flash,bio_psych,directional,yes
F035_41153499,DeepSeek-V4-Flash,bio_psych,directional,yes
F037_40731802,DeepSeek-V4-Flash,bio_psych,descriptive,yes
F037_40731802,DeepSeek-V4-Flash,psych_social,descriptive,yes
F037_40731802,DeepSeek-V4-Flash,triadic,partial,yes
F038_40589056,DeepSeek-V4-Flash,bio_psych,directional,yes
F038_40589056,DeepSeek-V4-Flash,triadic,partial,yes
F039_40566105,DeepSeek-V4-Flash,bio_psych,directional,yes
F039_40566105,DeepSeek-V4-Flash,psych_social,directional,yes
F039_40566105,DeepSeek-V4-Flash,bio_social,directional,yes
F039_40566105,DeepSeek-V4-Flash,triadic,descriptive,yes
F040_40563913,DeepSeek-V4-Flash,bio_psych,directional,yes
F041_40522393,DeepSeek-V4-Flash,bio_psych,directional,yes
F046_39624230,DeepSeek-V4-Flash,bio_psych,directional,yes
F046_39624230,DeepSeek-V4-Flash,psych_social,descriptive,yes
F046_39624230,DeepSeek-V4-Flash,bio_social,descriptive,yes
F046_39624230,DeepSeek-V4-Flash,triadic,partial,yes
F047_39338018,DeepSeek-V4-Flash,psych_social,descriptive,yes
F001_42080121,Nex-N2-Mini,bio_psych,mechanistic,yes
F001_42080121,Nex-N2-Mini,psych_social,descriptive,yes
F001_42080121,Nex-N2-Mini,bio_social,directional,no
F001_42080121,Nex-N2-Mini,triadic,descriptive,yes
F002_41976799,Nex-N2-Mini,bio_psych,directional,yes
F002_41976799,Nex-N2-Mini,psych_social,descriptive,yes
F002_41976799,Nex-N2-Mini,bio_social,directional,yes
F002_41976799,Nex-N2-Mini,triadic,descriptive,yes
F003_41868689,Nex-N2-Mini,bio_psych,mechanistic,yes
F003_41868689,Nex-N2-Mini,psych_social,mechanistic,yes
F003_41868689,Nex-N2-Mini,bio_social,directional,yes
F003_41868689,Nex-N2-Mini,triadic,partial,no
F004_41492309,Nex-N2-Mini,bio_psych,directional,yes
F004_41492309,Nex-N2-Mini,psych_social,directional,yes
F004_41492309,Nex-N2-Mini,bio_social,directional,yes
F004_41492309,Nex-N2-Mini,triadic,descriptive,yes
F005_41058307,Nex-N2-Mini,bio_psych,mechanistic,yes
F005_41058307,Nex-N2-Mini,psych_social,directional,yes
F005_41058307,Nex-N2-Mini,bio_social,directional,yes
F005_41058307,Nex-N2-Mini,triadic,partial,yes
F006_41676335,Nex-N2-Mini,bio_psych,mechanistic,yes
F006_41676335,Nex-N2-Mini,psych_social,mechanistic,yes
F006_41676335,Nex-N2-Mini,bio_social,mechanistic,yes
F006_41676335,Nex-N2-Mini,triadic,mechanistic,yes
F007_41436105,Nex-N2-Mini,bio_psych,mechanistic,yes
F007_41436105,Nex-N2-Mini,psych_social,descriptive,yes
F007_41436105,Nex-N2-Mini,bio_social,directional,no
F007_41436105,Nex-N2-Mini,triadic,mechanistic,yes
F008_41409397,Nex-N2-Mini,bio_psych,mechanistic,yes
F008_41409397,Nex-N2-Mini,psych_social,directional,yes
F008_41409397,Nex-N2-Mini,bio_social,directional,yes
F008_41409397,Nex-N2-Mini,triadic,partial,no
F009_41356326,Nex-N2-Mini,bio_psych,mechanistic,yes
F009_41356326,Nex-N2-Mini,psych_social,directional,yes
F009_41356326,Nex-N2-Mini,bio_social,directional,yes
F009_41356326,Nex-N2-Mini,triadic,partial,yes
F010_41221343,Nex-N2-Mini,bio_psych,mechanistic,yes
F010_41221343,Nex-N2-Mini,triadic,partial,yes
F011_41146083,Nex-N2-Mini,bio_psych,directional,no
F011_41146083,Nex-N2-Mini,psych_social,mechanistic,yes
F011_41146083,Nex-N2-Mini,bio_social,mechanistic,yes
F011_41146083,Nex-N2-Mini,triadic,partial,yes
F012_40624502,Nex-N2-Mini,bio_psych,mechanistic,yes
F012_40624502,Nex-N2-Mini,psych_social,mechanistic,yes
F012_40624502,Nex-N2-Mini,bio_social,directional,yes
F012_40624502,Nex-N2-Mini,triadic,partial,yes
F013_40470451,Nex-N2-Mini,bio_psych,directional,yes
F013_40470451,Nex-N2-Mini,psych_social,directional,yes
F013_40470451,Nex-N2-Mini,bio_social,directional,no
F013_40470451,Nex-N2-Mini,triadic,descriptive,yes
F014_40300000,Nex-N2-Mini,bio_psych,directional,yes
F014_40300000,Nex-N2-Mini,psych_social,mechanistic,yes
F014_40300000,Nex-N2-Mini,bio_social,mechanistic,yes
F014_40300000,Nex-N2-Mini,triadic,partial,yes
F015_40276470,Nex-N2-Mini,bio_psych,mechanistic,yes
F015_40276470,Nex-N2-Mini,psych_social,descriptive,no
F015_40276470,Nex-N2-Mini,bio_social,directional,yes
F015_40276470,Nex-N2-Mini,triadic,partial,yes
F016_40248751,Nex-N2-Mini,bio_psych,mechanistic,yes
F016_40248751,Nex-N2-Mini,psych_social,mechanistic,yes
F016_40248751,Nex-N2-Mini,bio_social,descriptive,yes
F016_40248751,Nex-N2-Mini,triadic,partial,no
F017_40101218,Nex-N2-Mini,bio_psych,mechanistic,yes
F017_40101218,Nex-N2-Mini,psych_social,descriptive,yes
F017_40101218,Nex-N2-Mini,bio_social,descriptive,yes
