record_id,database,interface,query_key,query_label,search_date,retrieved_at_utc,pmid,pmcid,doi,title,abstract,journal,publication_date,year,authors,author_count,first_author,affiliations,contact_author_country_guess,language,publication_types,keywords,mesh_terms,publication_status_flag,pubmed_url
pubmed_41868689,PubMed,MEDLINE via PubMed,pubmed_operational_primary,Operational PubMed query,2026-04-07,2026-04-07T15:42:46+00:00,41868689,PMC13004225,10.1097/PR9.0000000000001420,Acceptance of pain neuroscience education in chronic musculoskeletal pain conditions: qualitative systematic review.,"Pain neuroscience education (PNE) is a recognized strategy to manage biopsychosocial aspects of chronic pain. To this date, a systematic synthesis of determinants affecting the use and acceptance of PNE in clinical practice is pending. Primary qualitative articles were included if they investigated patient and/or provider perspectives on the use and acceptance of PNE in chronic musculoskeletal pain management. We searched MEDLINE (PubMed), Web of Science, and PsycInfo to identify eligible articles. Two researchers independently conducted the consensus-guided study selection process. Methodological quality was assessed using the Joanna Briggs Institute's (JBI) critical appraisal tool for qualitative research. Data from retrieved articles were synthesized using the JBI meta-aggregation approach. Confidence in findings was assessed by the ConQual approach to synthesized findings. Sixteen studies were included for qualitative meta-aggregation, comprehending perspectives of 329 participants. The analysis revealed 6 synthesized findings: (1) Basic didactic principles such as metaphors, multichannels, repetition, and plain messages support the delivery of PNE; (2) persisting beliefs in biomedical explanations of pain can lead to skepticism and misunderstandings of PNE; (3) emphasize the benefits of PNE and create personal relevance; (4) a group vs an individual setting should be chosen according to patient needs; (5) a good clinician-patient relationship is crucial for the acceptance of PNE; and (6) lacking confidence, unclear responsibilities, and a professional culture focused on biomedical aspects of care can keep practitioners from delivering PNE. Addressing these findings will contribute to a wider use and acceptance of PNE clinical practice.",Pain reports,2026-Apr,2026,Lukas Kühn | Eileen Wengemuth | Lara Kleist | Kyung Eun Anna Choi,4,Lukas Kühn,"Center for Health Services Research, Brandenburg Medical School, Rüdersdorfbei Berlin, Germany. | Faculty of Health Sciences Brandenburg, Brandenburg Medical School, Neuruppin, Germany. | Evidence Based Practice in Brandenburg-A JBI Affiliated Group, Brandenburg an der Havel, Germany. | Health Services Research, Research Center MIAAI (Medical Image Analysis and Artificial Intelligence), Faculty of Medicine/Dentistry, Danube Private University, Krems-Stein, Austria.",Germany,eng,Journal Article | Review,Determinants | Enablers | Neurophysiology of pain | Pain management,,none_detected,https://pubmed.ncbi.nlm.nih.gov/41868689/
pubmed_41271275,PubMed,MEDLINE via PubMed,pubmed_operational_primary,Operational PubMed query,2026-04-07,2026-04-07T15:42:46+00:00,41271275,PMC12988488,10.1016/j.cger.2025.09.010,Adopting Principles to Guide Pathways: The Best Model for Geriatric Pain Management.,"Older adults experience the highest burden of chronic pain and pain-related disability. Existing pathways-multimodal, stepped, and stratified prove useful pieces but do not fully account for the complexity of geriatric care. This article argues for principles to guide pathways: explaining and adopting the biopsychosocial framework, applying it with nuance, addressing expectations, structuring limited time, communicating effectively, coaching rather than commanding, focusing on movement and function, and using safe pain-modulatory interventions. Together, these principles anchor individualized, patient-centered, and function-focused pain care.",Clinics in geriatric medicine,2026-Feb,2026,Corey B Simon | Stephanie A Eucker | Kenneth E Schmader,3,Corey B Simon,"Department of Orthopaedic Surgery, Duke University School of Medicine, Duke Clinical Research Institute, Durham, NC, USA. Electronic address: corey.simon@duke.edu. | Department of Emergency Medicine, Duke University School of Medicine, Durham, NC, USA. | Geriatrics Research Education and Clinical Center (GRECC), Durham VA Health System, Durham, NC, USA.",,eng,Journal Article | Review,Biopsychosocial model | Communication | Functional outcomes | Geriatric pain | Patient expectations | Therapeutic alliance,Humans | Pain Management | Aged | Chronic Pain | Geriatrics | Patient-Centered Care,none_detected,https://pubmed.ncbi.nlm.nih.gov/41271275/
pubmed_41897178,PubMed,MEDLINE via PubMed,pubmed_operational_primary,Operational PubMed query,2026-04-07,2026-04-07T15:42:46+00:00,41897178,PMC13026475,10.3390/healthcare14060725,Biopsychosocial and Cultural Determinants of Functioning and Healthcare Outcomes in Chronic Non-Cancer Pain: An Integrative Review.,"Background: Chronic non-cancer pain (CNCP) is an increasing global health concern and a multidimensional condition shaped by biological, psychological, social, and cultural factors, with impacts on functioning, quality of life, and healthcare. However, evidence remains fragmented, limiting integrated understanding and care. Objective: This study aimed to synthesize and critically analyze existing evidence on the biological, psychological, social, and cultural dimensions characterizing individuals with CNCP, and their impact on functionality, quality of life, and healthcare. Methodology: An integrative review was conducted following the Whittemore and Knafl framework. Searches were performed in Medline, Cumulative Index of Nursing and Allied Literature Complete (CINAHL), PsycINFO, Scopus, Web of Science, and grey literature in English and Spanish, without time restrictions. Studies were screened using predefined eligibility criteria and appraised with Joanna Briggs Institute tools. Data were systematically extracted and synthesized using thematic analysis to identify key attributes of people living with CNCP. Quantitative findings were summarized descriptively and mapped to thematic domains, while qualitative data were analyzed interpretively. Both evidence streams were integrated through convergent thematic synthesis. Results: Forty-four studies were included, predominantly cross-sectional and observational. Five themes emerged: biological aspects; functioning and quality of life; psychological and mental factors; social support and peer relationships; and social and gender determinants. CNCP was consistently associated with multimorbidity, sleep disturbance, psychological distress, and maladaptive coping, contributing to reduced functional capacity, greater disability, poorer quality of life, and increased healthcare utilization. Socioeconomic disadvantages and environmental constraints were linked to higher pain burden, whereas resilience and social support emerged as protective factors mitigating functional and psychosocial impact. Conclusions: Evidence largely concentrates on biomedical, functional, and psychological dimensions, whereas social determinants and healthcare quality remain comparatively underexplored. Broadening these perspectives is essential to inform public health strategies and support multidisciplinary, equitable care for individuals living with CNCP.","Healthcare (Basel, Switzerland)",2026-Mar-12,2026,Rocío Cáceres-Matos | Miguel Garrido-Bueno | Juan Manuel Fernández-Sarmiento | Ana María Porcel-Gálvez | Manuel Pabón-Carrasco,5,Rocío Cáceres-Matos,"Research Group PAIDI-CTS-1050: ""Complex Care, Chronicity and Health Outcomes"", Faculty of Nursing, Physiotherapy and Podiatry, University of Seville, 41007 Sevilla, Spain. | Red Cross Nursing University Center, University of Seville, 41004 Sevilla, Spain.",Spain,eng,Journal Article | Review,biopsychosocial | chronic pain | integrative review | mental health | models | quality of life | social factors,,none_detected,https://pubmed.ncbi.nlm.nih.gov/41897178/
pubmed_41492309,PubMed,MEDLINE via PubMed,pubmed_operational_primary,Operational PubMed query,2026-04-07,2026-04-07T15:42:46+00:00,41492309,PMC12765098,10.1016/j.ocarto.2025.100725,Biopsychosocial predictive factors for developing chronic postsurgical pain after hip replacement surgery: A systematic review.,"OBJECTIVE: Total hip arthroplasty for end stage osteoarthritis is a common and often successful procedure. However, 14 ​% of patients experience chronic postsurgical pain after 1 year. The risk of developing chronic pain is multifactorial. The aim of this systematic review is to provide an overview of recent literature on predictive factors for developing postsurgical chronic pain after total hip arthroplasty to create a prognostic model for better recognition, perioperative optimization or reconsideration.
DESIGN: Studies were eligible if patients were over 18 years old, biopsychosocial risk factors and the occurrence of pain >3 months after surgery was reported. PubMed, EMBASE and CENTRAL were searched up to June 16th, 2025. The selected studies were screened and assessed on quality and risk of bias.
RESULTS: Fifteen studies met the inclusion criteria. These studies identified multiple biopsychosocial factors that may contribute to the development of chronic postsurgical pain. These include body mass index, preoperative (neuropathic) pain, the presence of comorbidities and functional disability, smoking, non-white race, sleep disturbances, depressive symptoms, anxiety, central sensitization, and pain catastrophizing. Additional associations were found for (younger) age and female sex. Some studies failed to demonstrate significant associations of certain factors, highlighting the complexity of chronic pain.
CONCLUSION: The identified, modifiable risk factors could be targets for prehabilitation and optimization. Personalized multimodal analgesia strategies might be more beneficial in high risk patients. Chronic postsurgical pain should be part of the informed consent and non-operative options could be considered in high risk patients.",Osteoarthritis and cartilage open,2026-Mar,2026,Rachel J H Smits | Rosa Poppen | Jetze Visser | Kris C P Vissers | Selina E I van der Wal,5,Rachel J H Smits,"Department of Anesthesiology, Pain- and Palliative Medicine, Radboudumc, 6500 HB, Nijmegen, the Netherlands. | Department of Orthopedic Surgery, Radboudumc, 6500 HB Nijmegen, the Netherlands.",Netherlands,eng,Journal Article | Review,Anesthesiology | Chronic pain | Chronic postsurgical pain | Prehabilitation | Total hip arthroplasty,,none_detected,https://pubmed.ncbi.nlm.nih.gov/41492309/
pubmed_41774945,PubMed,MEDLINE via PubMed,pubmed_operational_primary,Operational PubMed query,2026-04-07,2026-04-07T15:42:46+00:00,41774945,,10.1016/j.cpr.2026.102723,Building resilience to chronic pain during childhood: The Situate - Experience - Learn - Feel (SELF) Framework.,"Chronic pain is a significant global public health problem affecting 1 in 4 adults and 1 in 5 young people. Despite the high prevalence of chronic pain, research into its prevention is scarce. In this review, we draw from current, interdisciplinary evidence to present a conceptual Situate - Experience - Learn - Feel (SELF) Framework that takes a developmental and biopsychosocial-societal approach to building children's resilience against future chronic pain. The SELF Framework considers the impact of one's Situation, including social and societal supports and structures, early life Experiences, Learning of skills and knowledge, and the ability to understand and differentiate Feelings, in establishing SELF-empowerment, SELF-enablement, and SELF-reliance for the management of future pain experiences. We argue that childhood (∼0-10 years) is a developmental period that provides a potentially critical and thus far untapped opportunity to build resilience to chronic pain in adolescence and beyond. Our framework has three pillars: (1) LEARN: 'Building Knowledge and Skills' - targets children's understanding of pain and healthcare and associated behaviours; (2) EXPERIENCE: 'Strengthening Social Support and Building Emotional Resilience' - targets the fostering of social supports, community, positive childhood experiences, and emotional wellbeing; and (3) FEEL: 'Building Brain-Body Integration' - targets the development and maintenance of movement, interoception, and body awareness. For each pillar, we present its definition and scope, an evidence-based rationale, and provide implementation strategies that could reduce the risk of chronic pain in the future. Importantly, the SELF Framework considers that disadvantageous aspects of a child's broader societal/structural and social SITUAT[ION] may demand additional supports to mitigate risk, and we present several avenues for future research on this.",Clinical psychology review,2026-Apr,2026,Sarah B Wallwork | Tanja Hechler | Anja C Feneberg | Anna M Hood | Richelle Mychasiuk | Victoria J Madden | Carolyn Berryman | Melanie Noel | G Lorimer Moseley,9,Sarah B Wallwork,"IIMPACT in Health, College of Health, Adelaide University, Kaurna Country, Adelaide, Australia; Robinson Research Institute, Adelaide University, Adelaide, Australia. Electronic address: sarah.wallwork@adelaide.edu.au. | Research Group of Clinical Psychology and Psychotherapy in Children and Adolescents, Department of Psychology and Sports Science, University of Muenster, Münster, Germany. | Manchester Centre for Health Psychology, Division of Psychology and Mental Health, University of Manchester, Manchester, United Kingdom. | Department of Neuroscience, School of Translational Medicine, Monash University, The Alfred Centre, Melbourne, Australia; School of Medical Sciences, University of Sydney, Sydney, Australia. | African Pain Research Initiative, Department of Anaesthesia and Perioperative Medicine, Neuroscience Institute, University of Cape Town, Cape Town, South Africa. | IIMPACT in Health, College of Health, Adelaide University, Kaurna Country, Adelaide, Australia. | Department of Psychology, University of Calgary, Calgary, Canada.",Australia,eng,Journal Article | Review,Child development | Child education | Child mental health | Chronic pain | Paediatric pain | Pain inequities | Prevention,"Humans | Resilience, Psychological | Chronic Pain | Child | Child Development | Adolescent | Social Support",none_detected,https://pubmed.ncbi.nlm.nih.gov/41774945/
pubmed_40089399,PubMed,MEDLINE via PubMed,pubmed_operational_primary,Operational PubMed query,2026-04-07,2026-04-07T15:42:46+00:00,40089399,,10.1016/j.bja.2025.02.005,Definition of chronic postsurgical pain in the ICD-11: a narrative review of implications for anaesthesiology and pain medicine.,"Chronic postsurgical pain (CPSP) is associated with reduced health-related quality of life and disability. In some patients, it can result in long-term opioid use even after minor surgery. Epidemiological studies have reported highly varying rates of CPSP, largely because researchers have used different definitions with self-defined cut-offs for pain scores. With the introduction of the 11th revision of the World Health Organisation International Classification of Diseases and Related Health Problems (ICD-11), chronic pain is now recognised as an entity of its own, its biopsychosocial nature is emphasised, and its definition is standardised. Compared with the ICD-11 definition, the prevalence of CPSP might have been overestimated in previous studies. The ICD-11 provides a multifactorial assessment of pain severity, referring to pain intensity, pain-related interference, and pain-related distress, which cover the biopsychosocial aspects of chronic pain. These three scores can be added as extension codes to any pain diagnosis. Harmonisation of the CPSP criteria within the different coding levels of the ICD-11 might improve discrimination of CPSP from other chronic pain conditions not induced by surgery. Although neuropathic CPSP increases pain severity and requires alternative therapeutic approaches to nociceptive pain, a specific code to differentiate between neuropathic and non-neuropathic CPSP is not available. For clinical practice and research, the evidence-based ICD-11 definition, which provides clear-cut diagnostic criteria, should generally be used instead of pain scores alone. This will improve the comparability of data, form the basis for future diagnostic and therapeutic approaches, and facilitate communication.",British journal of anaesthesia,2026-Apr,2026,Ulrike M Stamer | Patricia Lavand'homme | Debora M Hofer | Antonia Barke | Beatrice Korwisi,5,Ulrike M Stamer,"Department of Anaesthesiology and Pain Medicine, Inselspital, Bern University Hospital, University of Bern, Bern, Switzerland; Department for BioMedical Research, University of Bern, Bern, Switzerland. Electronic address: ulrike.stamer@unibe.ch. | Department of Anaesthesiology, Acute Postoperative Pain Service and Transitional Pain Service, Cliniques Universitaires St Luc, University Catholic of Louvain, Brussels, Belgium. | Department of Anaesthesiology and Pain Medicine, Inselspital, Bern University Hospital, University of Bern, Bern, Switzerland. | Division of Clinical Psychology and Psychological Intervention, Institute of Psychology, University of Duisburg-Essen, Essen, Germany.",Switzerland,eng,Journal Article | Review,ICD-11 | World Health Organization | chronic postsurgical pain | definition | diagnostic criteria | neuropathic pain | pain classification,Humans | Postoperative Pain | Chronic Pain | International Classification of Diseases | Anesthesiology | Pain Measurement,none_detected,https://pubmed.ncbi.nlm.nih.gov/40089399/
pubmed_41271276,PubMed,MEDLINE via PubMed,pubmed_operational_primary,Operational PubMed query,2026-04-07,2026-04-07T15:42:46+00:00,41271276,,10.1016/j.cger.2025.08.011,Delivering Age-Friendly Interdisciplinary Care for Chronic Pain.,"Chronic pain and its costs will grow exponentially over the next 25 years. The geriatric 5Ms (multicomplexity, mind, mobility, medication, and matters most) have been developed as part of an age-friendly health systems initiative but have yet to be systematically applied to chronic pain management. The current review synthesized evidence of how the geriatric 5Ms are applied to older adults with chronic pain while providing guidance on how each of the 5Ms can be used to deliver age-friendly pain care to older adults. Challenges, potential solutions, and relevant interdisciplinary team members relevant to each ""M"" are examined.",Clinics in geriatric medicine,2026-Feb,2026,David E Reed | Natalie Fullenkamp | Keela Herr | Una E Makris,4,David E Reed,"Department of Psychiatry and Behavioral Sciences, University of Washington, Seattle, WA, USA; Seattle-Denver Center for Veteran-Centered and Value-Driven Care, VA Puget Sound Health Care System, Seattle, WA, USA. Electronic address: davider2@uw.edu. | Durham Center of Innovation to Accelerate Discovery and Practice Transformation, Durham Veteran Affairs Health Care System, Durham, USA. | College of Nursing, The University of Iowa, Iowa City, IA, USA. | Department of Internal Medicine, UT Southwestern Medical Center, Dallas, TX, USA.",,eng,Journal Article | Review,Biopsychosocial | Chronic pain | Geriatric 5Ms | Interdisciplinary | Older adults,Humans | Chronic Pain | Aged | Pain Management | Patient Care Team,none_detected,https://pubmed.ncbi.nlm.nih.gov/41271276/
pubmed_41271285,PubMed,MEDLINE via PubMed,pubmed_operational_primary,Operational PubMed query,2026-04-07,2026-04-07T15:42:46+00:00,41271285,,10.1016/j.cger.2025.08.005,Dual Experience and Management of Pain in Older Adults and Their Caregivers.,"This article presents an overview of the dual experience of pain in older adults and their caregiving relatives. Guided by the biopsychosocial model of chronic pain for older adults, we describe the major risk factors for pain in later life and consider the interpersonal consequences of pain for caregiving dyads. We discuss caregivers' role in pain assessment and management and consider how caregivers' own pain may impact their caregiving abilities and responses to their care recipients' pain. We advocate for dyadic approaches to pain management and present novel opportunities to promote uptake of dyadic pain interventions in clinical practice.",Clinics in geriatric medicine,2026-Feb,2026,Jeffrey T Boon | Shelbie G Turner | Catherine Riffin,3,Jeffrey T Boon,"The Ohio State University College of Nursing, 381 Newton Hall, 295 West 10th Avenue, Columbus, OH 43210, USA. Electronic address: boon.18@osu.edu. | Division of Geriatrics and Palliative Medicine, Weill Cornell Medical College, New York, USA.",,eng,Journal Article | Review,Dyads | Family caregiving | Older adults | Pain | Pain assessment,Humans | Caregivers | Pain Management | Aged | Chronic Pain | Pain Measurement | Risk Factors,none_detected,https://pubmed.ncbi.nlm.nih.gov/41271285/
pubmed_40748548,PubMed,MEDLINE via PubMed,pubmed_operational_primary,Operational PubMed query,2026-04-07,2026-04-07T15:42:46+00:00,40748548,,10.1080/00207144.2025.2531452,Eight Modules of Psychotherapy for Chronic Pain Informed by Hypnosis.,"Chronic pain is a health issue for millions of people and costs billions of dollars in health care and work productivity. Medical interventions, while sometimes beneficial, often fail, and issues surrounding opioid analgesics constitute a significant concern. Hypnosis has shown great promise in reducing suffering from chronic pain, but it is often applied incorrectly or insufficiently to address this problem. This article discusses using a biopsychosocial model for managing pain centered on hypnosis, based on recent publications. We present eight modules of psychotherapy informed by hypnosis, meditation, and motivational interviewing. The modules include a biopsychosocial assessment, motivational interviewing, cognitive interventions, hypnosis, meditation, activity, psychological factors, and sleep. We stress that a linear progression through the modules is not expected. Further, the proportion of attention to each module will vary from patient to patient. The ultimate goal of this approach is to manage rather than cure pain, and successful treatment outcomes focus on increased movement, productivity, and overall life satisfaction rather than solely pain reduction.",The International journal of clinical and experimental hypnosis,2026,2026,David R Patterson | M Elena Mendoza,2,David R Patterson,"Department of Rehabilitation Medicine, University of Washington, Seattle, Washington, USA.",,eng,Journal Article | Review,Chronic pain | hypnosis | psychotherapy,"Humans | Hypnosis | Chronic Pain | Meditation | Motivational Interviewing | Psychotherapy | Pain Management | Cognitive Behavioral Therapy | Models, Biopsychosocial",none_detected,https://pubmed.ncbi.nlm.nih.gov/40748548/
pubmed_41519680,PubMed,MEDLINE via PubMed,pubmed_operational_primary,Operational PubMed query,2026-04-07,2026-04-07T15:42:46+00:00,41519680,,10.1016/j.jnma.2025.12.008,"Implicit bias in pain management: The intersection of stigma, race, and chronic disease in sickle cell disease.","Healthcare disparities in pain management represent one of the most persistent and pernicious manifestations of systemic bias within medicine. This comprehensive review examines the complex intersection of implicit bias, racial stigmatization, and clinical decision-making in the context of sickle cell disease, a predominantly African descent genetic disorder characterized by severe recurrent acute pain episodes and chronic pain that worsens with age. Through analysis of empirical research spanning psychosocial functioning, pain perception, healthcare utilization patterns, and provider attitudes, we demonstrate how societal-level prejudices become institutionalized within medical practice, resulting in systematic undertreatment of legitimate pain and inappropriate labeling of patients as drug-seeking. The current opioid crisis has paradoxically exacerbated these disparities, as heightened scrutiny of narcotic prescribing disproportionately affects minority patients who already face substantial barriers to adequate pain management. We argue that understanding the biopsychosocial complexity of sickle cell disease within its historical and social context is essential for dismantling discriminatory practices and achieving equitable healthcare delivery. This paper presents a framework for recognizing and addressing implicit bias in clinical settings while maintaining appropriate safeguards against prescription drug diversion. The implications extend beyond sickle cell disease to encompass broader questions about how societal inequities become embedded in medical practice and perpetuated through ostensibly objective clinical assessments.",Journal of the National Medical Association,2026-Apr,2026,Christopher L Edwards | Ashley S Membreno Lopez | Cara Green | Diamond A Jones | Chiaundra Wiggins | Sha'Mya M Bullock | Nadia James | Margaret J Fryman | William Jeff Bryson | Lavila Jackson | Isabella Maymi | Amber Kalu | Ayden Israel Kalu | Janice McNeil | Jonathan N Livingston | Shiv Sudhakar | Wandy Cubilete | Elaine Whitworth | Jessica Miller | Brianna Jones | Camela S Barker | Camrynn Cutchin | Alvin Killough | Goldie S Byrd | Elwood Robinson | Keith E Whitfield | Ifeyinwa Osunkwo | Stephanie Johnson | Richard Boortz-Marx | John J Sollers Iii,30,Christopher L Edwards,"North Carolina Central University; NCCU Sollers Psychophysiology & Health Laboratory; NCCU Debra O. Parker Research Incubator; NCCU Psychoneuroendocrine and Rare Diseases Laboratory. Electronic address: cedwards@nccu.edu. | North Carolina Central University; NCCU Debra O. Parker Research Incubator; NCCU Psychoneuroendocrine and Rare Diseases Laboratory. | North Carolina Central University; NCCU Sollers Psychophysiology & Health Laboratory; NCCU Debra O. Parker Research Incubator; NCCU Psychoneuroendocrine and Rare Diseases Laboratory. | North Carolina Central University; NCCU Sollers Psychophysiology & Health Laboratory; NCCU Debra O. Parker Research Incubator; NCCU Psychoneuroendocrine and Rare Diseases Laboratory; NCCU J. Livingston Community Health Psychology Laboratory. | NCCU Psychoneuroendocrine and Rare Diseases Laboratory; Private Practice. | NCCU Debra O. Parker Research Incubator; NCCU Psychoneuroendocrine and Rare Diseases Laboratory. | NCCU Psychoneuroendocrine and Rare Diseases Laboratory; California Northstate University. | Duke University; NCCU Psychoneuroendocrine and Rare Diseases Laboratory. | NCCU Psychoneuroendocrine and Rare Diseases Laboratory; Bridges Pointe, Inc. Sickle Cell Agency. | NCCU Psychoneuroendocrine and Rare Diseases Laboratory; Bridges Pointe, Inc. Sickle Cell Agency; Fielding Graduate University. | NCCU Psychoneuroendocrine and Rare Diseases Laboratory; NCCU J. Livingston Community Health Psychology Laboratory. | NCCU Psychoneuroendocrine and Rare Diseases Laboratory; Fielding Graduate University. | North Carolina Central University; NCCU Debra O. Parker Research Incubator; NCCU Psychoneuroendocrine and Rare Diseases Laboratory; NCCU J. Livingston Community Health Psychology Laboratory. | Wake Forest Medical Center. | NCCU Psychoneuroendocrine and Rare Diseases Laboratory; Winston Salem State University. | Program for Research on Men's Health, Hopkins Center for Health Disparities Solutions, Johns Hopkins School of Public Health. | Novo Nordisk Rare Disease, Zurich, Switzerland.",,eng,Journal Article | Review,Chronic pain | Implicit bias | Opioid use | Pain perception | Sickle cell disease,"Humans | Anemia, Sickle Cell | Healthcare Disparities | Pain Management | Social Stigma | Chronic Pain | Racism",none_detected,https://pubmed.ncbi.nlm.nih.gov/41519680/
