record_id,year,reference_label,description,description_focus,description_source,description_char_count,fulltext_cached_path,fulltext_status,manual_fulltext_review_needed,review_type,icd11_pain_category,objective_category,bps_function,provisional_typology
pubmed_2094850,1990,Hampf (1990),This narrative review was focused on a biopsychosocial approach to TMJ pain--or looking for keys in the dark.,A biopsychosocial approach to TMJ pain--or looking for keys in the dark,title_fallback,109,,manual_retrieval_required,yes,narrative or expert review,chronic secondary musculoskeletal pain,conceptual,explanatory framework,pseudo-bps or partial signal
pubmed_2181358,1990,Lurie (1990),This narrative review was focused on PMS is probably a group of entities which include various symptoms that occur during the 7 to 10 days before.,PMS is probably a group of entities which include various symptoms that occur during the 7 to 10 days before...,objective_text,146,,,no,narrative or expert review,mixed or unspecified chronic pain,conceptual,explanatory framework,potential integrative signal
pubmed_1477890,1992,Waddell (1992),This narrative review was focused on biopsychosocial analysis of low back pain.,Biopsychosocial analysis of low back pain,title_fallback,79,,manual_retrieval_required,yes,narrative or expert review,chronic secondary musculoskeletal pain,unclear,unclear,pseudo-bps or partial signal
pubmed_7866373,1994,Fordyce (1994),This narrative review was focused on pain and suffering: what is the unit?.,Pain and suffering: what is the unit?,title_fallback,75,,manual_retrieval_required,yes,narrative or expert review,chronic secondary musculoskeletal pain,clinical,explanatory framework,pseudo-bps or partial signal
pubmed_8842824,1996,Talo (1996),This narrative review was focused on the biopsychosocial disease consequence model in rehabilitation: model development in the Finnish 'work hardening'.,The biopsychosocial disease consequence model in rehabilitation: model development in the Finnish 'work hardening'...,title_fallback,152,,manual_retrieval_required,yes,narrative or expert review,chronic secondary musculoskeletal pain,methodological,explanatory framework,pseudo-bps or partial signal
pubmed_8940956,1996,Ryder (1996),This narrative review was focused on chronic pelvic pain in women may involve more than the gynecologic organ systems.,Chronic pelvic pain in women may involve more than the gynecologic organ systems,objective_text,118,,manual_retrieval_required,yes,narrative or expert review,chronic secondary visceral pain,clinical,explanatory framework,pseudo-bps or partial signal
pubmed_9927896,1998,Moran (1998),This narrative review was focused on psychiatric problems in chronic facial pain.,Psychiatric problems in chronic facial pain,title_fallback,81,,manual_retrieval_required,yes,narrative or expert review,chronic secondary headache or orofacial pain,clinical,rhetorical label,rhetorical label signal
pubmed_10635197,1999,Molin (1999),This narrative review was focused on from bite to mind: TMD--a personal and literature review.,From bite to mind: TMD--a personal and literature review,title_fallback,94,,manual_retrieval_required,yes,narrative or expert review,chronic secondary headache or orofacial pain,conceptual,explanatory framework,pseudo-bps or partial signal
pubmed_10711057,1999,Wells-Federman (1999),This narrative review was focused on care of the patient with chronic pain: Part I.,Care of the patient with chronic pain: Part I,title_fallback,83,,manual_retrieval_required,yes,narrative or expert review,mixed or unspecified chronic pain,clinical,organizing principle,potential integrative signal
pubmed_10870733,2000,Loeser (2000),This narrative review was focused on pain and suffering.,Pain and suffering,title_fallback,56,,manual_retrieval_required,yes,narrative or expert review,mixed or unspecified chronic pain,conceptual,rhetorical label,rhetorical label signal
