record_id,title,year,review_type,icd11_pain_category,provisional_typology,conceptual_problem_flags,psychological_concepts_detected,theoretical_frameworks_detected,stage3_priority,fulltext_status,cached_text_path,full_text_available,pain_condition_detail,domain_coverage_bio,domain_coverage_psych,domain_coverage_social,integration_bio_psych,integration_psych_social,integration_bio_social,integration_triadic,integration_mechanism_summary,overall_balance,bps_typology,concept_definitions_present,psychological_concepts_fulltext,theoretical_frameworks_fulltext,conceptual_problems_fulltext,integration_quotes_or_evidence,coder_id,coder_notes,adjudication_status
WOS:001116314900001,Effects of Multidisciplinary Biopsychosocial Rehabilitation on Short-Term Pain and Disability in Chronic Low Back Pain: A Systematic Review with Network Meta-Analysis,,network meta-analysis,chronic secondary musculoskeletal pain,multifactorial signal,parallel_listing_without_integration | mechanistic_absence | missing_biology,,,high,pmc_fulltext_cached,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC10707228.txt,,,,,,,,,,,,,,,,,,,,
WOS:000453643300005,Identification of prognostic factors and assessment methods on the evaluation of non-specific low back pain in a biopsychosocial environment: A scoping review,,scoping or mapping review,chronic secondary musculoskeletal pain,pseudo-bps or partial signal,vague_definition | parallel_listing_without_integration | mechanistic_absence | missing_biology,coping,,high,manual_retrieval_required,,,,,,,,,,,,,,,,,,,,,
pubmed_40418249,Biopsychosocial and physical factors associated with firefighter musculoskeletal disorders: a systematic review.,2025.0,systematic review,chronic secondary musculoskeletal pain,multifactorial signal,parallel_listing_without_integration | mechanistic_absence,depression | stress,,high,pmc_fulltext_cached,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC12202764.txt,,,,,,,,,,,,,,,,,,,,
pubmed_40170347,Conversational Agents to Support Pain Management: A Scoping Review.,2025.0,scoping or mapping review,mixed or unspecified chronic pain,pseudo-bps or partial signal,tokenistic_bps | parallel_listing_without_integration | mechanistic_absence,coping,,high,pmc_fulltext_cached,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC11962237.txt,,,,,,,,,,,,,,,,,,,,
pubmed_41105043,Pain Perception and Modulation: Fundamental Neurobiology and Recent Advances.,2025.0,narrative or expert review,mixed or unspecified chronic pain,pseudo-bps or partial signal,missing_social,,,high,pmc_fulltext_cached,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC12533558.txt,,,,,,,,,,,,,,,,,,,,
pubmed_40624502,Social dimensions as explanatory approaches for the development of chronic pain: a meta-ethnography of qualitative studies.,2025.0,systematic review,mixed or unspecified chronic pain,potential integrative signal,missing_social,,,high,pmc_fulltext_cached,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC12235893.txt,,,,,,,,,,,,,,,,,,,,
pubmed_38754116,Construction of the chronic temporomandibular disorder patients: the association between neural and psychological pathways.,2024.0,narrative or expert review,mixed or unspecified chronic pain,potential integrative signal,none,,,high,manual_retrieval_required,,,,,,,,,,,,,,,,,,,,,
pubmed_39768944,Effectiveness of Physical Activity in the Management of Nonspecific Low Back Pain: A Systematic Review.,2024.0,systematic review,chronic secondary musculoskeletal pain,potential integrative signal,none,fear-avoidance | depression,,high,pmc_fulltext_cached,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC11678838.txt,,,,,,,,,,,,,,,,,,,,
pubmed_39137213,Is educational attainment associated with the onset and outcomes of low back pain? a systematic review and meta-analysis.,2024.0,meta-analysis,chronic secondary musculoskeletal pain,pseudo-bps or partial signal,parallel_listing_without_integration | mechanistic_absence,,,high,pmc_fulltext_cached,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC11321572.txt,,,,,,,,,,,,,,,,,,,,
pubmed_39468650,What are the functional and clinical characteristics shared by fibromyalgia and low back pain? A scoping review.,2024.0,scoping or mapping review,chronic primary pain,multifactorial signal,parallel_listing_without_integration | mechanistic_absence,fear-avoidance | coping | depression | anxiety | illness perception | stress,,high,pmc_fulltext_cached,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC11514884.txt,,,,,,,,,,,,,,,,,,,,
