record_id,database,pmid,pmcid,doi,title,abstract,year,journal,authors,country_contact_author,publication_types,review_type,objective_text,objective_category,objective_category_source,icd11_pain_category,musculoskeletal_flag,bps_mention_location,bps_function,bio_mentioned,psych_mentioned,social_mentioned,quality_assessment_reported,psychological_concepts_detected,theoretical_frameworks_detected,conceptual_problem_flags,provisional_typology,stage3_candidate,stage3_priority,coding_rationale,coding_method,llm_model,screening_status,screening_reason,reviewer_a_objective_category,reviewer_b_objective_category,reviewer_a_provisional_typology,reviewer_b_provisional_typology,reviewer_a_notes,reviewer_b_notes,adjudicated_objective_category,adjudicated_typology
pubmed_40675665,PubMed,40675665.0,,10.1016/j.ncl.2025.04.005,Advances in Our Understanding and Treatment of Nociplastic Pain.,"Nociplastic pain is a distinct pain mechanism arising from amplified and/or dysregulated sensory processing within the central nervous system (CNS). It is clinically characterized by multisite pain as well as nonpainful symptoms including fatigue, sleep, and memory issues. Although nociplastic pain may be the primary or sole pain mechanism, it often co-occurs as part of a mixed pain syndrome in which nociceptive and neuropathic features are also present. Multimodal therapies grounded in the biopsychosocial model of pain and emphasizing nonpharmacologic treatments alongside pharmacologic interventions acting on the CNS are key to managing nociplastic pain.",2025.0,Neurologic clinics,Bridget R Mueller | Daniel J Clauw | Lindsey B De Lott,,Journal Article | Review,systematic review,Nociplastic pain is a distinct pain mechanism arising from amplified and/or dysregulated sensory processing within the central nervous system (CNS).,clinical,llm_structured,chronic primary pain,no,abstract only,intervention rationale,yes,no,yes,no,,,parallel_listing_without_integration | mechanistic_absence,multifactorial signal,no,low,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview,include,,,,,,,,,
pubmed_7866373,PubMed,7866373.0,,10.1007/BF00433377,Pain and suffering: what is the unit?,"Nonspecific low back pain presents several problems to health care providers. Although the number of patients who are registered as disabled due to low back pain has dramatically increased in recent years, its incidence and severity remain fairly constant. The relationship between perceived backache and subsequent disability is not linear, and other factors may influence a patient's decision to seek help. These factors include the patient's psychological and emotional state, especially his or her past experiences, extant mood and anxiety about anticipated consequences. Physicians should not rely on a simple 'disease model' when treating low back pain but should try to identify the biopsychosocial factors involved and should understand that pain and suffering are not always synonymous.",1994.0,"Quality of life research : an international journal of quality of life aspects of treatment, care and rehabilitation",W E Fordyce,,Journal Article | Review,narrative or expert review,Nonspecific low back pain presents several problems to health care providers.,clinical,llm_structured,chronic secondary musculoskeletal pain,yes,abstract only,explanatory framework,no,yes,yes,no,anxiety,,missing_biology,multifactorial signal,yes,high,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview,include,,,,,,,,,
pubmed_39468650,PubMed,39468650.0,PMC11514884,10.1186/s41927-024-00430-6,What are the functional and clinical characteristics shared by fibromyalgia and low back pain? A scoping review.,"BACKGROUND: Fibromyalgia and chronic primary low back pain are two chronic pain conditions with a significant biopsychosocial burden. Recently, the International Association for the Study of Pain has grouped them under the term chronic primary pain. To further explore similarities and differences between these two conditions, the objective of this scoping review is to explore the pain-related, physiological and psychological outcomes in individuals with fibromyalgia and low back pain.
METHODS: The following databases were used to find relevant studies, using the PRISMA guidelines: Medline, Psycinfo, and CINAHL. Studies were included if they encompassed both participants with fibromyalgia or low back pain, with the objective to compare pain-related, physiological and/or psychological outcomes.
RESULTS: Nineteen studies were selected for extraction. Among the 2801 participants, 968 had fibromyalgia (mean age 48.56 ± 7.97 years, with 94% being female) and 896 had low back pain (mean age 47.48 ± 8.15 years, with 80% being female). Pain sensitivity, physical dysfunction, illness perception, psychological distress, alexithymia, depression, and anxiety were generally more severe in participants with fibromyalgia. Most studies found similar levels of pain intensity, kinesiophobia, quality of pain, quality of life, impact of pain, suicidal risk, anger, and social support comparing individuals with fibromyalgia and individuals with low back pain.
DISCUSSION: This scoping review highlights that although both conditions show similar pain intensity and impact on quality of life, fibromyalgia is associated with greater overall severity than low back pain, especially in sensitivity to pain and depression/anxiety.",2024.0,BMC rheumatology,Bastien Couëpel | Mathieu Tremblay | Marjorie Bernier | Jacques Abboud | Martin Descarreaux,Canada,Journal Article | Scoping Review,scoping or mapping review,BACKGROUND: Fibromyalgia and chronic primary low back pain are two chronic pain conditions with a significant biopsychosocial burden.,clinical,llm_structured,chronic primary pain,yes,abstract only,organizing principle,yes,yes,yes,no,fear-avoidance | coping | depression | anxiety | illness perception | stress,,parallel_listing_without_integration | mechanistic_absence,multifactorial signal,yes,high,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview,include,,,,,,,,,
pubmed_24716562,PubMed,24716562.0,,10.3928/00904481-20140325-08,"Pediatric IBS: an overview on pathophysiology, diagnosis and treatment.","Irritable bowel syndrome (IBS) is a common disorder in children and adults. The pathogenesis and pathophysiology of IBS remains incompletely understood. The biopsychosocial model, which conceptualizes chronic pain as a dysregulation of the gut-brain-homeostasis with peripheral and central factors mutually influencing each other, is the most accepted framework to explain IBS. Twin and family aggregation studies suggest a genetic component that does not exclusively explain the higher prevalence of IBS in certain families. Social learning (environmental factors) and maladaptive coping predispose children to develop IBS with greater disability and more frequent medical consultations. Early-life events constitute an additional risk factor for the development of IBS and other functional gastrointestinal disorders (FGIDs). Children with a history of cow's milk protein hypersensitivity or abdominal surgeries have a higher prevalence of IBS and other FGIDs years later. IBS frequently follows an episode of acute gastrointestinal inflammation (infectious or non-infectious). This article discusses the importance, known pathophysiological mechanisms, clinical approach, and evidence-based therapeutic options for the management of IBS in children and adolescents.",2014.0,Pediatric annals,Ashish Chogle | Stijn Mintjens | Miguel Saps,,Journal Article | Review,narrative or expert review,Irritable bowel syndrome (IBS) is a common disorder in children and adults.,conceptual,llm_structured,chronic secondary visceral pain,unclear,abstract only,explanatory framework,yes,yes,yes,no,coping,,none,potential integrative signal,yes,medium,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview,include,,,,,,,,,
pubmed_26148424,PubMed,26148424.0,,10.1111/ajd.12365,Current concepts in vulvodynia with a focus on pathogenesis and pain mechanisms.,"Vulvodynia is a common and debilitating chronic pain syndrome characterised by neuropathic-type pain. Localised provoked vulvodynia is the most common type, followed by generalised unprovoked vulvodynia. Vulvodynia is a diagnosis of exclusion. The cause is unknown but current research suggests an underlying predisposition to increased sensitivity to pain and peripheral and central neural sensitisation. Musculoskeletal factors also play an important role. Vulvodynia has a significant impact on the quality of life, mood, functional ability and relationships of patients and their partners. It is highly associated with anxiety and depression. Treatment needs to follow a biopsychosocial model and be tailored to the patient. A multimodal and multidisciplinary approach is often most effective. We have suggested a therapeutic ladder.",2016.0,The Australasian journal of dermatology,Alicia M Thornton | Catherine Drummond,Australia,Journal Article | Review,narrative or expert review,Vulvodynia is a common and debilitating chronic pain syndrome characterised by neuropathic-type pain.,clinical,llm_structured,chronic primary pain,yes,abstract only,intervention rationale,yes,yes,yes,no,depression | anxiety,,tokenistic_bps | parallel_listing_without_integration | mechanistic_absence,pseudo-bps or partial signal,yes,high,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview,include,,,,,,,,,
pubmed_2094850,PubMed,2094850.0,,,A biopsychosocial approach to TMJ pain--or looking for keys in the dark.,"A biopsychosocial model for understanding TMJ dysfunction is presented. The balance between biological, psychological and sociological factors involved in TMJ dysfunction and low back pain is described. If only one of these factors is treated the result may be favourable; however, if the others are neglected, the favourable result may be only temporary.",1990.0,Proceedings of the Finnish Dental Society. Suomen Hammaslaakariseuran toimituksia,G Hampf,Finland,Journal Article | Review,narrative or expert review,A biopsychosocial model for understanding TMJ dysfunction is presented.,conceptual,llm_structured,chronic secondary musculoskeletal pain,yes,title and abstract,explanatory framework,yes,yes,yes,no,,,none,potential integrative signal,yes,high,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview,include,,,,,,,,,
pubmed_29729787,PubMed,29729787.0,PMC6800257,10.1016/j.hoc.2018.01.014,Key Components of Pain Management for Children and Adults with Sickle Cell Disease.,"Sickle cell disease pain manifests as severe acute pain episodes and a debilitating chronic pain syndrome. Acute pain episodes are the most common reason for health care use; however, acute pain episodes are also frequently managed at home. Chronic pain syndrome develops in 30% to 40% of individuals with sickle cell disease, with an increasing incidence and severity with age. We review the critical aspects of pain management that are integral to the comprehensive approach to sickle cell disease pain and are rooted in the biopsychosocial model. The review focuses on opioid pharmacology and psychosocial comorbidities.",2018.0,Hematology/oncology clinics of North America,Amanda M Brandow | Michael R DeBaun,,"Journal Article | Research Support, N.I.H., Extramural | Review",narrative or expert review,Sickle cell disease pain manifests as severe acute pain episodes and a debilitating chronic pain syndrome.,clinical,llm_structured,mixed or unspecified chronic pain,unclear,abstract only,background framing,no,no,yes,no,psychosocial comorbidities,,parallel_listing_without_integration | mechanistic_absence | missing_biology,pseudo-bps or partial signal,yes,medium,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview,include,,,,,,,,,
pubmed_30520741,PubMed,30520741.0,,10.1097/ACO.0000000000000675,Pain therapy for the elderly patient: is opioid-free an option?,"PURPOSE OF REVIEW: Chronic noncancer pain is an increasing problem in elderly because of rising life expectancy together with an increase of potentially painful medical conditions. Concomitantly, adequate treatment of elderly is often limited by coexisting diseases and polypharmacy.This review summarizes the most important specifics presented by elderly patients and discusses the pharmacological and nonpharmacological options of pain management.
RECENT FINDINGS: A comprehensive pain assessment is a prerequisite for effective pain management. However, this can be a major challenge in patients who are unable to communicate adequately, that is, in patients with dementia. A recently developed electronic tool assessing automated facial expression and clinical behavioral indicators may help to solve this problem. The discussion about benefits and harms of opioids in elderly goes on. Although some authors underline the lack of efficacy together with the potential problems, such as, abuse, others report a beneficial effect in terms of pain relief, functional activities and disability. In addition, opioids have become an important treatment option in patients with restless legs syndrome. Various topical treatment options (i.e. capsaicin patch) and nonpharmacological interventions have been proven to be beneficial in elderly.
SUMMARY: Adequate pain management of elderly patients constitutes numerous pharmacological options including nonopioids, opioids, coanalgesics and topical agents. Due to age-related characteristics, all systemic analgesics have to be given very cautiously ('start low, go slow'). Whenever possible, treatment should be performed as a multimodal approach based on the biopsychosocial model of chronic pain.",2019.0,Current opinion in anaesthesiology,Benjamin Luchting | Shahnaz Christina Azad,,Journal Article | Review,narrative or expert review,PURPOSE OF REVIEW: Chronic noncancer pain is an increasing problem in elderly because of rising life expectancy together with an increase of potentially painful medical conditions.,clinical,llm_structured,mixed or unspecified chronic pain,no,abstract only,intervention rationale,yes,no,yes,no,,,tokenistic_bps | vague_definition,rhetorical label signal,yes,low,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview,include,,,,,,,,,
pubmed_26889614,PubMed,26889614.0,,10.1097/AJP.0000000000000342,Chronic Pain Following Motor Vehicle Collision: A Systematic Review of Outcomes Associated With Seeking or Receiving Compensation.,"OBJECTIVE: Motor vehicle collisions (MVC) are a major cause of injury, which frequently lead to chronic pain and prolonged disability. Several studies have found that seeking or receiving financial compensation following MVC leads to poorer recovery and worse pain. We evaluated the evidence for the relationship between compensation and chronic pain following MVC within a biopsychosocial framework.
METHOD: A comprehensive search of 5 computerized databases was conducted. Methodological quality was evaluated independently by 2 researchers according to formal criteria, and discrepancies were resolved with a third reviewer.
RESULTS: We identified 5619 studies, from which 230 full-text articles were retrieved and 27 studies were retained for appraisal. A third of studies (37%) were of low quality, and 44% did not measure or control for factors such as injury severity or preinjury pain and disability. Most studies (70%) reported adverse outcomes, including all of the highest quality studies. Engagement with compensation systems was related to more prevalent self-reported chronic pain, mental health disorders, and reduced return to work. Recovery was poorer when fault was attributed to another, or when a lawyer was involved. Five studies compared Tort ""common law"" and No-Fault schemes directly and concluded that Tort claimants had poorer recovery.
CONCLUSIONS: Although causal relationships cannot be assumed, the findings imply that aspects of loss, injustice, and secondary mental health outcomes lead to chronic pain following MVC. Further robust prospective research is required to understand the complex relationship between compensation systems and pain following road trauma, particularly the role of secondary mental health outcomes.",2016.0,The Clinical journal of pain,Melita J Giummarra | Liane Ioannou | Jennie Ponsford | Peter A Cameron | Paul A Jennings | Stephen J Gibson | Nellie Georgiou-Karistianis,Australia,Journal Article | Systematic Review,systematic review,"OBJECTIVE: Motor vehicle collisions (MVC) are a major cause of injury, which frequently lead to chronic pain and prolonged disability. Several studies have found that seeking or receiving financial compensation following MVC leads to poorer recovery and worse pain. We evaluated the evidence for the relationship between compensation and chronic pain following MVC within a biopsychosocial framework.",epidemiological,llm_structured,chronic postsurgical or posttraumatic pain,unclear,abstract only,explanatory framework,no,no,yes,no,,,missing_biology,potential integrative signal,yes,medium,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview,include,,,,,,,,,
pubmed_38063895,PubMed,38063895.0,PMC11579083,10.1007/s00406-023-01721-8,A clinical approach to the investigation and management of long COVID associated neuropathic pain.,"COVID-19 has been associated with a wide range of ongoing symptoms following recovery from the acute SARS-CoV-2 infection. Around one in three people with COVID-19 develop neurological symptoms with many reporting neuropathic pain and associated symptoms, including paraesthesia, numbness, and dysesthesia. Whilst the pathophysiology of long COVID-19-associated neuropathic pain remains unclear, it is likely to be multifactorial. Early identification, exclusion of common alternative causes, and a biopsychosocial approach to the management of the symptoms can help in relieving the burden of disease and improving the quality of life for patients.",2024.0,European archives of psychiatry and clinical neuroscience,Rajish Sanjit Kumar Shil | Thomas William Hughes | Brendan Francis Sargent | Yun Huang | Arina Anna Tamborska | Bernhard Frank | Mark Alexander Ellul | Benedict Daniel Michael,,Journal Article | Review,narrative or expert review,COVID-19 has been associated with a wide range of ongoing symptoms following recovery from the acute SARS-CoV-2 infection.,clinical,llm_structured,chronic neuropathic pain,no,abstract only,intervention rationale,yes,no,yes,no,,,tokenistic_bps | parallel_listing_without_integration | mechanistic_absence,pseudo-bps or partial signal,no,low,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview,include,,,,,,,,,
