record_id,pmid,pmcid,doi,title,journal,year,icd11_pain_category,musculoskeletal_flag,review_type,provisional_typology,conceptual_problem_flags,psychological_concepts_detected,theoretical_frameworks_detected,stage3_priority,coding_rationale,fulltext_status,retrieval_source,fulltext_word_count,fulltext_checked_utc,manual_retrieval_needed,manual_relevance_priority,manual_relevance_flags,osf_manual_adjudication_required,pubmed_url,cached_xml_path,cached_text_path
WOS:001116314900001,,PMC10707228,10.3390/jcm12237489,Effects of Multidisciplinary Biopsychosocial Rehabilitation on Short-Term Pain and Disability in Chronic Low Back Pain: A Systematic Review with Network Meta-Analysis,JOURNAL OF CLINICAL MEDICINE,,chronic secondary musculoskeletal pain,yes,network meta-analysis,multifactorial signal,parallel_listing_without_integration | mechanistic_absence | missing_biology,,,high,Structured Stage 2 output required deterministic field repair for omitted items.,pmc_fulltext_cached,europepmc,9254,2026-04-07T20:02:14+00:00,no,low,,yes,,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC10707228.xml,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC10707228.txt
WOS:000453643300005,,,10.1016/j.ijosm.2018.07.001,Identification of prognostic factors and assessment methods on the evaluation of non-specific low back pain in a biopsychosocial environment: A scoping review,INTERNATIONAL JOURNAL OF OSTEOPATHIC MEDICINE,,chronic secondary musculoskeletal pain,yes,scoping or mapping review,pseudo-bps or partial signal,vague_definition | parallel_listing_without_integration | mechanistic_absence | missing_biology,coping,,high,Structured Stage 2 output required deterministic field repair for omitted items.,manual_retrieval_required,none,0,2026-04-07T20:02:14+00:00,yes,medium,chronicity_not_explicit,yes,,,
pubmed_40418249,40418249.0,PMC12202764,10.1093/joccuh/uiaf028,Biopsychosocial and physical factors associated with firefighter musculoskeletal disorders: a systematic review.,Journal of occupational health,2025.0,chronic secondary musculoskeletal pain,yes,systematic review,multifactorial signal,parallel_listing_without_integration | mechanistic_absence,depression | stress,,high,Structured Stage 2 output required deterministic field repair for omitted items.,pmc_fulltext_cached,stage2_existing_pmcid,16173,2026-04-07T20:02:14+00:00,no,high,pain_focus_not_explicit | chronicity_not_explicit,yes,https://pubmed.ncbi.nlm.nih.gov/40418249.0/,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC12202764.xml,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC12202764.txt
pubmed_40170347,40170347.0,PMC11962237,10.1002/ejp.70016,Conversational Agents to Support Pain Management: A Scoping Review.,"European journal of pain (London, England)",2025.0,mixed or unspecified chronic pain,yes,scoping or mapping review,pseudo-bps or partial signal,tokenistic_bps | parallel_listing_without_integration | mechanistic_absence,coping,,high,Structured Stage 2 output required deterministic field repair for omitted items.,pmc_fulltext_cached,stage2_existing_pmcid,14161,2026-04-07T20:02:14+00:00,no,medium,chronicity_not_explicit,yes,https://pubmed.ncbi.nlm.nih.gov/40170347.0/,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC11962237.xml,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC11962237.txt
pubmed_41105043,41105043.0,PMC12533558,10.1111/ejn.70275,Pain Perception and Modulation: Fundamental Neurobiology and Recent Advances.,The European journal of neuroscience,2025.0,mixed or unspecified chronic pain,yes,narrative or expert review,pseudo-bps or partial signal,missing_social,,,high,Structured Stage 2 output required deterministic field repair for omitted items.,pmc_fulltext_cached,stage2_existing_pmcid,16311,2026-04-07T20:02:14+00:00,no,low,,yes,https://pubmed.ncbi.nlm.nih.gov/41105043.0/,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC12533558.xml,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC12533558.txt
pubmed_40624502,40624502.0,PMC12235893,10.1186/s12939-025-02560-w,Social dimensions as explanatory approaches for the development of chronic pain: a meta-ethnography of qualitative studies.,International journal for equity in health,2025.0,mixed or unspecified chronic pain,yes,systematic review,potential integrative signal,missing_social,,,high,Structured Stage 2 output required deterministic field repair for omitted items.,pmc_fulltext_cached,stage2_existing_pmcid,21661,2026-04-07T20:02:14+00:00,no,low,,yes,https://pubmed.ncbi.nlm.nih.gov/40624502.0/,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC12235893.xml,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC12235893.txt
pubmed_38754116,38754116.0,,10.26635/6965.6513,Construction of the chronic temporomandibular disorder patients: the association between neural and psychological pathways.,The New Zealand medical journal,2024.0,mixed or unspecified chronic pain,yes,narrative or expert review,potential integrative signal,none,,,high,Structured Stage 2 output required deterministic field repair for omitted items.,manual_retrieval_required,none,0,2026-04-07T20:02:14+00:00,yes,medium,,yes,https://pubmed.ncbi.nlm.nih.gov/38754116.0/,,
pubmed_39768944,39768944.0,PMC11678838,10.3390/medicina60122065,Effectiveness of Physical Activity in the Management of Nonspecific Low Back Pain: A Systematic Review.,"Medicina (Kaunas, Lithuania)",2024.0,chronic secondary musculoskeletal pain,yes,systematic review,potential integrative signal,none,fear-avoidance | depression,,high,Structured Stage 2 output required deterministic field repair for omitted items.,pmc_fulltext_cached,stage2_existing_pmcid,8569,2026-04-07T20:02:14+00:00,no,medium,chronicity_not_explicit,yes,https://pubmed.ncbi.nlm.nih.gov/39768944.0/,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC11678838.xml,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC11678838.txt
pubmed_39137213,39137213.0,PMC11321572,10.1371/journal.pone.0308625,Is educational attainment associated with the onset and outcomes of low back pain? a systematic review and meta-analysis.,PloS one,2024.0,chronic secondary musculoskeletal pain,yes,meta-analysis,pseudo-bps or partial signal,parallel_listing_without_integration | mechanistic_absence,,,high,Structured Stage 2 output required deterministic field repair for omitted items.,pmc_fulltext_cached,stage2_existing_pmcid,11499,2026-04-07T20:02:14+00:00,no,medium,chronicity_not_explicit,yes,https://pubmed.ncbi.nlm.nih.gov/39137213.0/,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC11321572.xml,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC11321572.txt
pubmed_39468650,39468650.0,PMC11514884,10.1186/s41927-024-00430-6,What are the functional and clinical characteristics shared by fibromyalgia and low back pain? A scoping review.,BMC rheumatology,2024.0,chronic primary pain,yes,scoping or mapping review,multifactorial signal,parallel_listing_without_integration | mechanistic_absence,fear-avoidance | coping | depression | anxiety | illness perception | stress,,high,Structured Stage 2 output required deterministic field repair for omitted items.,pmc_fulltext_cached,stage2_existing_pmcid,18470,2026-04-07T20:02:14+00:00,no,low,,yes,https://pubmed.ncbi.nlm.nih.gov/39468650.0/,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC11514884.xml,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC11514884.txt
