record_id,database,interface,query_key,query_label,search_date,retrieved_at_utc,pmid,pmcid,doi,title,abstract,journal,publication_date,year,authors,author_count,first_author,affiliations,contact_author_country_guess,language,publication_types,keywords,mesh_terms,publication_status_flag,pubmed_url,norm_doi,norm_title,dedupe_key,duplicate_rank,is_duplicate,reviewer_a_decision,reviewer_b_decision,reviewer_a_reason,reviewer_b_reason,adjudicated_decision,adjudication_notes
pubmed_35645164,PubMed,MEDLINE via PubMed,pubmed_audit_sensitivity,PubMed audit query,2026-04-07,2026-04-07T15:43:08+00:00,35645164.0,,10.1080/09593985.2022.2080130,The biopsychosocial model is lost in translation: from misrepresentation to an enactive modernization.,"INTRODUCTION: There are increasing recommendations to use the biopsychosocial model (BPSM) as a guide for musculoskeletal research and practice. However, there is a wide range of interpretations and applications of the model, many of which deviate from George Engel's original BPSM. These deviations have led to confusion and suboptimal patient care.
OBJECTIVES: 1) To review Engel's original work; 2) outline prominent BPSM interpretations and misapplications in research and practice; and 3) present an ""enactive"" modernization of the BPSM.
METHODS: Critical narrative review in the context of musculoskeletal pain.
RESULTS: The BPSM has been biomedicalized, fragmented, and used in reductionist ways. Two useful versions of the BPSM have been running mostly in parallel, rarely converging. The first version is a ""humanistic"" interpretation based on person- and relationship-centredness. The second version is a ""causation"" interpretation focused on multifactorial contributors to illness and health. Recently, authors have argued that a modern enactive approach to the BPSM can accommodate both interpretations.
CONCLUSION: The BPSM is often conceptualized in narrow ways and only partially implemented in clinical care. We outline how an ""enactive-BPS approach"" to musculoskeletal care aligns with Engel's vision yet addresses theoretical limitations and may mitigate misapplications.",Physiotherapy theory and practice,2023-Nov-02,2023.0,Ben Cormack | Peter Stilwell | Sabrina Coninx | Jo Gibson,4,Ben Cormack,"Cor-Kinetic, London, UK. | School of Physical and Occupational Therapy, McGill University, Montreal, QC, Canada. | Institute for Philosophy II, Ruhr University Bochum, Bochum, Germany. | Physiotherapy Department, Royal Liverpool and Broadgreen University Hospitals, Liverpool, UK.",,eng,Review | Journal Article,Biopsychosocial | George Engel | enactivism | humanism | person-centered care,"Humans | Models, Biopsychosocial | Musculoskeletal Pain",none_detected,https://pubmed.ncbi.nlm.nih.gov/35645164/,10.1080/09593985.2022.2080130,the biopsychosocial model is lost in translation from misrepresentation to an enactive modernization,10.1080/09593985.2022.2080130,1,False,,,,,,
pubmed_30900474,PubMed,MEDLINE via PubMed,pubmed_audit_sensitivity,PubMed audit query,2026-04-07,2026-04-07T15:43:25+00:00,30900474.0,,10.1080/13697137.2019.1575356,Sexuality in premature ovarian insufficiency.,"Sexuality in women with spontaneous premature ovarian insufficiency (POI) deserves attention because of the young age and the distressing impact of such a life-changing diagnosis. Biomedical and psychosocial factors work in concert to determine significant changes of sexual function. Early hormonal deprivation gives origin to symptomatic vulvovaginal atrophy and contributes to hypoactive sexual desire disorder modulating central and peripheral circuitries, which regulate sexual response. Emotional and cognitive adjustment to the short-term and long-term consequences of POI may further determine negative attitudes toward sexuality. It is essential to counsel POI women on every aspect of their life, from menopausal symptoms to fertility concerns, from health risks to potential therapeutic solutions. The biopsychosocial perspective is the best approach to manage sexual symptoms, including tailored hormone therapy and focused counseling. Pharmacotherapies specifically investigated in spontaneous POI conditions are lacking and clinical judgment has to guide the choice of treatment, which must be continued at least until the average age at natural menopause according to the most recent guidelines. Further studies are needed to better characterize POI women and to understand the effective role of novel therapeutic strategies, including androgens and cognitive-behavioral and sexual interventions.",Climacteric : the journal of the International Menopause Society,2019-Jun,2019.0,R E Nappi | L Cucinella | E Martini | M Rossi | L Tiranini | S Martella | D Bosoni | C Cassani,8,R E Nappi,"a Research Center for Reproductive Medicine, Gynecological Endocrinology and Menopause, Obstetrics and Gynecology Unit, IRCCS S. Matteo Foundation, Department of Clinical, Surgical, Diagnostic and Paediatric Sciences , University of Pavia , Pavia , Italy.",Italy,eng,Journal Article | Review,Premature ovarian insufficiency | androgens | counseling | estrogens | female sexual dysfunction | female sexual function | psychosexual therapy,Counseling | Female | Humans | Menopause | Primary Ovarian Insufficiency | Sexuality,none_detected,https://pubmed.ncbi.nlm.nih.gov/30900474/,10.1080/13697137.2019.1575356,sexuality in premature ovarian insufficiency,10.1080/13697137.2019.1575356,1,False,,,,,,
WOS:001044379100002,Web of Science,Web of Science Starter API,wos_starter_operational,wos_starter_operational,2026-04-06,2026-04-06T22:21:29.474802+00:00,,,10.4103/jmhhb.jmhhb_254_22,Postpartum depression: An overview of reviews and guide for management,,JOURNAL OF MENTAL HEALTH AND HUMAN BEHAVIOUR,,,"Rai, Bhavika | Dagar, Nidhi | Chauhan, Devika | Grover, Sandeep",4,"Rai, Bhavika",,,,,,,,,10.4103/jmhhb.jmhhb_254_22,postpartum depression an overview of reviews and guide for management,10.4103/jmhhb.jmhhb_254_22,1,False,,,,,,
pubmed_38739242,PubMed,MEDLINE via PubMed,pubmed_audit_sensitivity,PubMed audit query,2026-04-07,2026-04-07T15:43:07+00:00,38739242.0,,10.1111/1556-4029.15530,Death of the suicide law: A changing standard of liability for clinicians.,"High rates of suicide continue to plague the modern world, with clinicians, researchers, and policymakers working urgently to ameliorate what has been recognized as a worldwide public health crisis. Under American Law, individuals- including health care providers, could generally not be held liable for causing the suicide of another person. This article presents a review of suicide law in the United States in the context of a recent civil case in which a physician with expertise in mental health was sued for the death of an ex-partner who committed suicide in his home. Historical events and landmark legal cases spanning the 15th century to now are examined and presented as a narrative review to inform society and mental health clinicians a-like towards interpreting the changing medical-legal landscape. As modern advances in science continue to discern the critical biopsychosocial factors that contribute to the act of suicide, there is an inevitably growing concern that suicide may no longer be an incomprehensible nor irrational event as has been assumed for centuries. Thus, it may be considered that individual with expertise and qualification to treat a group of individuals at higher risk of suicide (severe mental illness) may be subject to a different standard than the average individual. This article seeks to present a complex matter where no simple or broad-sweeping conclusions can yet be drawn, however remains a critically important matter for mental health clinicians.",Journal of forensic sciences,2024-Jul,2024.0,Shariful A Syed | Brigham Dixson | Rodrigo Fontenele | Spencer Eth | Judith Regan,5,Shariful A Syed,"Department of Psychiatry, Yale University School of Medicine, New Haven, Connecticut, USA. | VA Connecticut Health Care System, West Haven, Connecticut, USA. | North, Pursell & Ramos PLC, Nashville, Tennessee, USA. | Miami VA Health Care System, Miami, Florida, USA. | Department of Psychiatry, University of Miami Miller School of Medicine, Miami, Florida, USA. | VISN 8 VA Clinical Resource Hub, St. Petersburg, Florida, USA.",,eng,Journal Article | Historical Article | Review,risk of liability for suicide | suicide | suicide landmark case review,"Humans | Liability, Legal | United States | Suicide | History, 20th Century | History, 19th Century | History, 18th Century | History, 21st Century | History, 15th Century",none_detected,https://pubmed.ncbi.nlm.nih.gov/38739242/,10.1111/1556-4029.15530,death of the suicide law a changing standard of liability for clinicians,10.1111/1556-4029.15530,1,False,,,,,,
pubmed_36556152,PubMed,MEDLINE via PubMed,pubmed_audit_sensitivity,PubMed audit query,2026-04-07,2026-04-07T15:43:12+00:00,36556152.0,PMC9780899,10.3390/jcm11247537,"Axial Spondyloarthritis: Reshape the Future-From the ""2022 GISEA International Symposium"".","The term ""axial spondyloarthritis"" (axSpA) refers to a group of chronic rheumatic diseases that predominantly involve the axial skeleton and consist of ankylosing spondylitis, reactive arthritis, arthritis/spondylitis associated with psoriasis (PsA) and arthritis/spondylitis associated with inflammatory bowel diseases (IBD). Moreover, pain is an important and common symptom of axSpA. It may progress to chronic pain, a more complicated bio-psychosocial phenomena, leading to a significant worsening of quality of life. The development of the axSpA inflammatory process is grounded in the complex interaction between genetic (such as HLA B27), epigenetic, and environmental factors associated with a dysregulated immune response. Considering the pivotal contribution of IL-23 and IL-17 in axSpA inflammation, the inhibition of these cytokines has been evaluated as a potential therapeutic strategy. With this context, here we discuss the main pathogenetic mechanisms, therapeutic approaches and the role of pain in axSpA from the 2022 International GISEA/OEG Symposium.",Journal of clinical medicine,2022-Dec-19,2022.0,Fausto Salaffi | Cesare Siragusano | Alessandra Alciati | Giulia Cassone | Salvatore D'Angelo | Serena Guiducci | Ennio Giulio Favalli | Fabrizio Conti | Elisa Gremese | Florenzo Iannone | Roberto Caporali | Marco Sebastiani | Gian Franco Ferraccioli | Giovanni Lapadula | Fabiola Atzeni,15,Fausto Salaffi,"Rheumatology Clinic, Ospedale Carlo Urbani, Università Politecnica delle Marche, 60035 Jesi, Italy. | Rheumatology Unit, Department of Experimental and Internal Medicine, University of Messina, 98125 Messina, Italy. | Department of Clinical Neurosciences, Hermanas Hospitalarias, Villa San Benedetto Menni Hospital, Como, and Humanitas Clinical and Research Centre, Rozzano, 20089 Milan, Italy. | Rheumatology Unit, Azienda Ospedaliera Policlinico di Modena, University of Modena and Reggio Emilia, 41125 Modena, Italy. | Rheumatology Institute of Lucania and Rheumatology Department of Lucania, San Carlo Hospital of Potenza, 85100 Potenza, Italy. | Department of Experimental and Clinical Medicine, University of Florence, 50134 Florence, Italy. | Division of Clinical Rheumatology, ASST Gaetano Pini-CTO Institute, 20122 Milan, Italy. | Department of Clinical Sciences and Community Health, Research Center for Adult and Pediatric Rheumatic Diseases, University of Milan, 20122 Milan, Italy. | Lupus Clinic, Dipartimento di Scienze Cliniche Internistiche, Anestesiologiche e Cardiovascolari, Sapienza University of Rome, 00161 Rome, Italy. | Rheumatology Unit, Fondazione Policlinico Universitario A. Gemelli IRCCS, 00168 Rome, Italy. | Rheumatology Unit, Department of Emergency Surgery and Organ Transplantations, University of Bari, 70121 Bari, Italy. | School of Medicine, Università Cattolica del Sacro Cuore, 00168 Rome, Italy.",Italy,eng,Journal Article | Review,axial spondyloarthritis | pain | pathogenesis | therapy,,none_detected,https://pubmed.ncbi.nlm.nih.gov/36556152/,10.3390/jcm11247537,axial spondyloarthritis reshape the future from the 2022 gisea international symposium,10.3390/jcm11247537,1,False,,,,,,
pubmed_37819921,PubMed,MEDLINE via PubMed,pubmed_audit_sensitivity,PubMed audit query,2026-04-07,2026-04-07T15:43:08+00:00,37819921.0,PMC10566680,10.1371/journal.pgph.0001641,"Almajiri health; a scoping review on disease, health literacy and space for participatory research.","INTRODUCTION: Almajirai are male children in Northern Nigeria and Southern Niger who study Islam in the almajiranci system. Almajiranci has been associated with non-participation in formal education, abuse, poverty, and underdevelopment. However, the peer-reviewed literature around health among almajirai remains limited. We conduct a scoping review around almajiri health to synthesize evidence for health problems, draw links between findings, identify research gaps, indicate areas for intervention, and assess participatory approaches in this literature.
METHODS: We searched the academic literature for articles concerning almajiri heath using a framework integrating the biopsychosocial and socio-ecological models of health. We included articles in English and French published between 2000 and 2022. For each study we collected information regarding authorship, study year and location(s), study design and aims, sample characteristics, findings, and almajiri participation in research design, execution, interpretation and dissemination.
RESULTS: Of 1,944 studies, 17 were found relevant for data extraction. These included 14 cross-sectional studies, 2 descriptive articles, and one case-control study. All were conducted in Nigeria, though one included Nigerien almajirai. No study engaged almajirai in participatory roles. Domains evaluated included infectious disease (10 studies), oral health (2 studies), workplace injury, nutrition, health status, health determinants, and mental health (1 study each). Almajirai included ranged from 3 to 28 years old. Included studies found high rates of malaria, intestinal parasitosis, urinary tract infection, N. meningitidis, and occupational injury among almajirai. Studies comparing almajirai to controls found significantly higher rates of cholera, urinary schistosomiasis, and psychiatric disorders, lower levels of rabies awareness and poorer oral hygiene among almajirai (p<0.05). One study, concerning nutrition, described an intervention to improve almajiri health, though did not provide health outcomes for that intervention.
CONCLUSION: We find that the literature around almajiri health has concerned a broad range of domains, though the number of studies within each domain remains limited. We further note limitations in the geographic scope of this literature, interventions to improve almajiri health, and the consideration of demographic features, like age, that may influence almajiri health. We stress the need for further study in these areas, and for participatory approaches, which may be more likely to effectively improve almajiri health.",PLOS global public health,2023,2023.0,Muzzammil Imran Muhammad | Amna Hassana Abdulsalam | Fadhina Petit-Clair | Amber Acquaye | Autumn Nobles | Brian Fleischer | Chigoziri Konkwo | Yusuf Ransome | Elijah Paintsil,9,Muzzammil Imran Muhammad,"Yale School of Medicine, New Haven, Connecticut, United States of America. | National Agency for the Control of AIDS, Abuja, Federal Capital Territory, Nigeria. | Yale University, New Haven, Connecticut, United States of America. | Department of Social and Behavioral Sciences, Yale School of Public Health, New Haven, Connecticut, United States of America. | Department of Pediatrics, Section of Infectious Diseases and Global Health, Yale University School of Medicine, New Haven, Connecticut, United States of America.",United States of America,eng,Journal Article | Scoping Review,,,none_detected,https://pubmed.ncbi.nlm.nih.gov/37819921/,10.1371/journal.pgph.0001641,almajiri health a scoping review on disease health literacy and space for participatory research,10.1371/journal.pgph.0001641,1,False,,,,,,
WOS:000778536600001,Web of Science,Web of Science Starter API,wos_starter_operational,wos_starter_operational,2026-04-06,2026-04-06T22:21:25.806960+00:00,,,10.4081/jphr.2021.2274,Social determinants of the disproportionately higher rates of COVID-19 infection among African Caribbean and Black (ACB) population: A systematic review protocol,,JOURNAL OF PUBLIC HEALTH RESEARCH,,,"Etowa, Josephine | Demeke, Jemal | Abrha, Getachew | Worku, Fiqir | Ajiboye, Wale | Beauchamp, Sheryl | Taiwo, Itunu | Pascal, Djiadeu | Ghose, Bishwajit",9,"Etowa, Josephine",,,,,,,,,10.4081/jphr.2021.2274,social determinants of the disproportionately higher rates of covid 19 infection among african caribbean and black acb population a systematic review protocol,10.4081/jphr.2021.2274,1,False,,,,,,
pubmed_38244336,PubMed,MEDLINE via PubMed,pubmed_audit_sensitivity,PubMed audit query,2026-04-07,2026-04-07T15:43:08+00:00,38244336.0,,10.1016/j.nepr.2024.103874,A model for risk factors harms and of smartphone addiction among nursing students: A scoping review.,"AIM: To delineate the prevalence of smartphone addiction among nursing students. Further, to identify associated harms and underlying risk factors based on established theoretical models.
BACKGROUND: Smartphones have become indispensable tools for students. However, excessive use can lead to smartphone addiction, causing physiological, psychological and social harm. Nursing students represent a unique population whose smartphone use may differ from other disciplines due to clinical training demands.
METHODS: A scoping review was conducted following the Arksey and O'Malley framework. Seven databases were systematically searched from inception to August 2023. Inclusion criteria encompassed original research on smartphone addiction, harms and risks among nursing students. Data were extracted and thematically synthesized.
RESULTS: Studies (n=39) met inclusion criteria, representing 15 countries. Rates of smartphone addiction among nursing students ranged from 19% to 72%, averaging 40-50%. Incorporated into Engel's biopsychosocial models, the harm is emphasized across individual inclinations, emotional aspects, cognitive processes and executive functions. Physiological harms include sleep disruption, vision concerns,other physiological concerns. psychologically, addiction correlated with increased anxiety and depression,decline in self-esteem, learning and attention and other psychological concerns. socially, it encompasses harms such as interpersonal relationships challenges, career development and decline in social abilities. The I-PACE model identifies various risk factors for smartphone addiction among nursing students, including personal factors such as interpersonal relationship anxiety and perceived academic pressure, affective factors like high stress and learning burnout, cognitive factors such as the need for online social interaction and low perception of social support, as well as executive factors like extended usage duration, poor self-control and usage before sleep.
CONCLUSION: Smartphone addiction among nursing students presents tangible harms. A proposed theoretical model integrating established frameworks provides avenues to better comprehend addiction genesis and potential intervention strategies. Given addiction's multi-factorial nature, future research investigating harm mitigation through optimizing predisposing, precipitating and perpetuating factors is warranted.",Nurse education in practice,2024-Feb,2024.0,Bo Zhou | Lim Gek Mui | Jinnan Li | Yang Yang | Jiahui Hu,5,Bo Zhou,"Huangshan Vocational College Of Health, School of Nursing, China; Faculty of Medicine, Bioscience and Nursing, MAHSA University, Malaysia. | Faculty of Medicine, Bioscience and Nursing, MAHSA University, Malaysia. Electronic address: book1234@foxmail.com. | Huangshan Vocational College Of Health, School of Nursing, China.",Malaysia,eng,Journal Article | Scoping Review,Harms | Nursing students | Physiological effects | Prevalence | Psychological effects | Risk factors | Smartphone addiction | Theoretical model,"Humans | Behavior, Addictive | Internet Addiction Disorder | Risk Factors | Smartphone | Students, Nursing",none_detected,https://pubmed.ncbi.nlm.nih.gov/38244336/,10.1016/j.nepr.2024.103874,a model for risk factors harms and of smartphone addiction among nursing students a scoping review,10.1016/j.nepr.2024.103874,1,False,,,,,,
pubmed_38887623,PubMed,MEDLINE via PubMed,pubmed_audit_sensitivity,PubMed audit query,2026-04-07,2026-04-07T15:43:07+00:00,38887623.0,PMC11181908,10.3389/fpsyg.2024.1389911,Gut-directed hypnosis and hypnotherapy for irritable bowel syndrome: a mini-review.,"Irritable bowel syndrome (IBS) is a frequent health condition which can be associated with functional disability and reduced health-related quality of life. IBS is classified as a disorder of the brain-gut axis. IBS is a very heterogenous condition with regards to the underlying pathophysiological mechanisms, the clinical picture and the amount of functional impairment. Within a biopsychosocial model of IBS psychosocial factors can play a role in the in the predisposition, triggering and development of chronicity. Somatic or psychosocial or a mixture of both factors might predominate in an individual patient. Gut-directed hypnosis is a special type of medical hypnosis combining standardised gut-directed suggestions (hypnosis) with suggestions tailored to the psychological characteristics of the patient (hypnotherapy). Of brain-gut behavioral therapies, cognitive bahvioral-based interventions and gut-directed hypnosis have the largest evidence for both short-term and long-term efficacy in controlled trials for IBS and are recommended by current European and North American gastroenterology guidelines as second line treatment options. Standardised gut-directed hypnosis is available by audiotapes and can be part of a multicomponent self-management approach by digital health applications. It can be used - based on the patient's preferences-as first line therapy for mild forms of IBS. Severe forms of IBS require face-to-face interdisciplinary management. Standardised gut-directed hypnosis and hypnotherapy tailored to the individual patient can be part of this approach.",Frontiers in psychology,2024,2024.0,Winfried Häuser,1,Winfried Häuser,"Department of Psychosomatic Medicine and Psychotherapy, Technical University Munich, Munich, Germany. | Medical Center Pain Medicine and Mental Health, Saarbrücken, Germany.",Germany,eng,Journal Article | Review,digital health applications | efficacy | gastroenterology | guidelines | gut-directed hypnosis | irritable bowel syndrome,,none_detected,https://pubmed.ncbi.nlm.nih.gov/38887623/,10.3389/fpsyg.2024.1389911,gut directed hypnosis and hypnotherapy for irritable bowel syndrome a mini review,10.3389/fpsyg.2024.1389911,1,False,,,,,,
WOS:001417454500001,Web of Science,Web of Science Starter API,wos_starter_operational,wos_starter_operational,2026-04-06,2026-04-06T22:21:27.625786+00:00,,,10.1371/journal.pgph.0000967,Instruments to identify risk factors associated with adverse childhood experiences for vulnerable children in primary care in low- and middle-income countries: A systematic review and narrative synthesis,,PLOS GLOBAL PUBLIC HEALTH,,,"Mwashala, Winfrida | Saikia, Udoy | Chamberlain, Diane",3,"Mwashala, Winfrida",,,,,,,,,10.1371/journal.pgph.0000967,instruments to identify risk factors associated with adverse childhood experiences for vulnerable children in primary care in low and middle income countries a systematic review and narrative synthesis,10.1371/journal.pgph.0000967,1,False,,,,,,
