record_id,database,interface,query_key,query_label,search_date,retrieved_at_utc,pmid,pmcid,doi,title,abstract,journal,publication_date,year,authors,author_count,first_author,affiliations,contact_author_country_guess,language,publication_types,keywords,mesh_terms,publication_status_flag,pubmed_url,norm_doi,norm_title,dedupe_key,duplicate_rank,is_duplicate
pubmed_40936447,PubMed,MEDLINE via PubMed,pubmed_audit_sensitivity,PubMed audit query,2026-04-07,2026-04-07T15:43:00+00:00,40936447.0,,10.1177/03331024251364204,"Impact of psychiatric comorbidity, resilience and executive function on childhood and adolescent headaches: A narrative review.","BackgroundThe impact of psychiatric comorbidities in children and adolescents with headache disorders can be more comprehensively understood through a biopsychosocial perspective, which examines the dynamic interplay of factors beyond headache attacks. Resilience and executive function emerge within this framework, playing a central role in development psychopathology and other critical domains.MethodsThis narrative review aimed to examine the impact of psychiatric comorbidity on migraine and/or high-frequency headaches (HFH) in children and adolescents through a biopsychosocial perspective centered on the role of resilience and executive function (EF), exploring their potential clinical implications. PubMed was searched for English language articles of human participants, from birth to 18 years, published up to 10 April 2025.ResultsClinical and population-based studies suggest that children and adolescents with migraine and/or HFH are at an increased risk of low resilience and EF impairments. Preliminary interaction and multivariate analyses suggest that high vulnerability (the counterpart to resilience) exerts a moderating role in the psychiatric comorbidity of migraine, as well as a mediating effect in the association of HFH with psychiatric symptoms and disorders. Candidate predictors of psychiatric comorbidity in youths with migraine and/or HFH include EF impairment, high vulnerability, female sex, low socioeconomic status, prenatal exposure to tobacco, poor academic performance and headache attacks accompanied by nausea and vomiting.ConclusionsThe multidimensional impact of psychiatric comorbidities on children and adolescents with headache disorders is clearly demonstrated by consistent evidence of their adverse effects on headache severity and chronification, as well as negative outcomes in quality of life, cognitive performance, academic achievement and overall patient well-being, leading to long-term continuity across childhood, adolescence and adulthood. Most of this impact is probably due to the interactions between reduced resilience, increased vulnerability and EF impairment. This narrative review underscore the relevance of routinely assessing psychiatric symptoms, resilience, executive function skills and school functioning in children and adolescents with headache disorders. Future studies should examine whether early interventions focused on resilience, vulnerability and EF can prevent psychiatric comorbidities and improve headache outcomes in children and adolescents with migraine and/or HFH.",Cephalalgia : an international journal of headache,2025-Sep,2025.0,Marco Antônio Arruda | Renato Arruda | José Aparecido da Silva,3,Marco Antônio Arruda,"Glia Institute, Ribeirão Preto, São Paulo, Brazil. | Psychobiology Unit, Department of Psychology, University of São Paulo, Ribeirao Preto, São Paulo, Brazil.",Brazil,eng,Journal Article | Review,biopsychosocial | executive function | migraine | psychiatric comorbidity | resilience | vulnerability,"Humans | Executive Function | Adolescent | Child | Resilience, Psychological | Comorbidity | Mental Disorders | Headache",none_detected,https://pubmed.ncbi.nlm.nih.gov/40936447/,10.1177/03331024251364204,impact of psychiatric comorbidity resilience and executive function on childhood and adolescent headaches a narrative review,10.1177/03331024251364204,1,False
pubmed_29273127,PubMed,MEDLINE via PubMed,pubmed_audit_sensitivity,PubMed audit query,2026-04-07,2026-04-07T15:43:28+00:00,29273127.0,,10.1016/j.anai.2017.10.023,Role of behavioral health in management of pediatric atopic dermatitis.,"OBJECTIVE: To describe the behavioral components and complications in treating pediatric patients with atopic dermatitis (AD) and the critical role of behavioral health professionals in addressing disease impact and behavioral aspects of disease management for these patients and families.
DATA SOURCES: Studies and review articles were selected from medical and psychology databases for relevance to pertinent topics.
RESULTS: AD has significant negative effects in affected individuals and their families on quality of life, behavioral, emotional, and sleep disturbances, and family functioning. Effective treatment strategies for AD are available, but the challenges for children and parents in coping with disease-related concerns and in following through with the multiple aspects of treatment are considerable. A biopsychosocial model, which incorporates the interplay among biological, psychological, and social dimensions of medical care, can be implemented in various treatment settings to achieve an integrated medical and behavioral health care approach. By sharing a family orientation, using a stress and coping model, and taking into account children's developmental capabilities and concerns, medical and behavioral health care providers are equipped to bring an in-depth understanding and different evidence-based therapeutic tools to address emotional, behavioral, and interpersonal challenges imposed by moderate to severe AD in children and families.
CONCLUSION: Behavioral health and medical providers working together to provide integrated care play a critical role in helping children and families cope with the burdens imposed by AD, successfully manage the disease, and achieve optimal quality of life for affected children and their families.","Annals of allergy, asthma & immunology : official publication of the American College of Allergy, Asthma, & Immunology",2018-Jan,2018.0,Mary D Klinnert | Genery Booster | Mandy Copeland | Jennifer Moyer Darr | Lisa J Meltzer | Michael Miller | Alyssa Oland | Shauna Perry | Brian K Wise | Bruce G Bender,10,Mary D Klinnert,"National Jewish Health, Denver, Colorado; University of Colorado School of Medicine, Aurora, Colorado. Electronic address: KlinnertM@NJHealth.org. | National Jewish Health, Denver, Colorado. | National Jewish Health, Denver, Colorado; University of Colorado School of Medicine, Aurora, Colorado.",,eng,Journal Article | Review,,"Adaptation, Psychological | Animals | Behavior Therapy | Child | Dermatitis, Atopic | Emotions | Family | Health Personnel | Humans | Parents",none_detected,https://pubmed.ncbi.nlm.nih.gov/29273127/,10.1016/j.anai.2017.10.023,role of behavioral health in management of pediatric atopic dermatitis,10.1016/j.anai.2017.10.023,1,False
pubmed_34950864,PubMed,MEDLINE via PubMed,pubmed_audit_sensitivity,PubMed audit query,2026-04-07,2026-04-07T15:43:18+00:00,34950864.0,PMC8671519,10.1016/j.ebr.2021.100501,Neurostimulation for the treatment of functional neurological disorder: A systematic review.,"Functional Neurological Disorder (FND), also known as conversion disorder, is characterized by neurological symptoms that are incompatible with any known structural disorder and best explained by a biopsychosocial model. Evidence-based treatments for FND are limited, with cognitive behavioral therapy (CBT) and physiotherapy being the most effective interventions [1]. In recent years, functional neuroimaging studies have provided robust evidence of alterations in activity and connectivity in multiple brain networks in FND. This body of evidence suggests that neurocircuitry-based interventions, such as non-invasive brain stimulation techniques (NIBS), may also represent an effective therapeutic option for patients with FND. In this systematic review, we outline the current state of knowledge of NIBS in FND, and discuss limitations and future directions that may help establish the efficacy of NIBS as a therapeutic option for FND.",Epilepsy & behavior reports,2021,2021.0,Irene Gonsalvez | Primavera Spagnolo | Barbara Dworetzky | Gaston Baslet,4,Irene Gonsalvez,"Department of Psychiatry, Brigham and Women's Hospital, Harvard Medical School, Boston, MA, USA. | Mary Horrigan Connors Center for Women's Health & Gender Biology, Department of Psychiatry, Brigham and Women Hospital, Harvard Medical School, Boston, MA 02115, USA. | Department of Neurology, Brigham and Women's Hospital, Harvard Medical School, Boston, MA, USA.",,eng,Journal Article | Review,FND | Functional seizures | TMS | tDCS,,none_detected,https://pubmed.ncbi.nlm.nih.gov/34950864/,10.1016/j.ebr.2021.100501,neurostimulation for the treatment of functional neurological disorder a systematic review,10.1016/j.ebr.2021.100501,1,False
pubmed_41587687,PubMed,MEDLINE via PubMed,pubmed_audit_sensitivity,PubMed audit query,2026-04-07,2026-04-07T15:42:56+00:00,41587687.0,,10.1016/j.pnpbp.2026.111617,Gender-specific perspectives in schizophrenia: Recent advances and future directions.,"Schizophrenia is a severe psychiatric disorder that occurs more frequently in males than in females. Males typically show symptoms earlier in life, while females tend to develop symptoms later, with a peak after menopause. Men have a higher incidence rate, but the overall prevalence is similar between genders. Several studies have identified potential biopsychosocial reasons for these differences. The ""estrogen hypothesis,"" which suggests a neuroprotective effect of estrogen in women, has gained support despite limited evidence for genetic and neurodevelopmental factors. Differences based on symptoms have also been connected to distinct psychological vulnerabilities in men and women. Emerging research indicates that genetic and neurodevelopmental factors may play a less significant role in female schizophrenia compared to males. In this context, the estrogen hypothesis, which proposes a neuroprotective role for estrogen, has gained attention as a possible explanation for sex-related differences in disease expression and progression. These gender-based differences in schizophrenia might reflect variations in symptom profiles that are influenced by underlying psychological and neurobiological vulnerabilities unique to each sex. A thorough investigation of these gender-specific mechanisms is necessary to deepen understanding of the causes and to develop more personalized and effective treatments.",Progress in neuro-psychopharmacology & biological psychiatry,2026-Mar-20,2026.0,Shakeel Ahmed Ansari | Faez Iqbal Khan | Asim Muhammad Alshanberi | Mohammad Zubair Alam | Muhammad Saboor | Ghulam Md Ashraf,6,Shakeel Ahmed Ansari,"Department of Biochemistry, General Medicine Practice Program, Batterjee Medical College, Jeddah 21442, Saudi Arabia. Electronic address: shakeel.ansari@bmc.edu.sa. | Department of Biosciences and Bioinformatics, School of Science, Xi'an Jiaotong-Liverpool University, 111 Ren'ai Road, SIP, Suzhou, Jiangsu Province 215123, PR China. | General Medicine Practice Program, Batterjee Medical College, Jeddah, Saudi Arabia. | Neuroscience and Geoscience Research Unit, King Fahd Medical Research Center, King Abdulaziz University, Jeddah, Saudi Arabia; Department of Medical Laboratory Sciences, Faculty of Applied Medical Sciences, King Abdulaziz University, Jeddah, Saudi Arabia. | Department of Medical Laboratory Sciences, College of Health Sciences, and Research Institute for Medical and Health Sciences, University of Sharjah, P.O. Box 27272, Sharjah, United Arab Emirates. | Department of Biomedical Sciences, College of Medicine, Gulf Medical University, Ajman, United Arab Emirates. Electronic address: dr.ashraf@gmu.ac.ae.",Saudi Arabia,eng,Journal Article | Review,Environmental factors | Gender differences | Genetic factors | Schizophrenia | Therapeutic management,Humans | Schizophrenia | Sex Characteristics | Female | Male | Estrogens | Schizophrenic Psychology,none_detected,https://pubmed.ncbi.nlm.nih.gov/41587687/,10.1016/j.pnpbp.2026.111617,gender specific perspectives in schizophrenia recent advances and future directions,10.1016/j.pnpbp.2026.111617,1,False
WOS:001490873800001,Web of Science,Web of Science Starter API,wos_starter_operational,wos_starter_operational,2026-04-06,2026-04-06T22:21:34.930133+00:00,,,10.1159/000542505,Biopsychosocial All Around: The Classification of Chronic Pain in the ICD-11,,VERHALTENSTHERAPIE,,,"Barke, Antonia | Korwisi, Beatrice",2,"Barke, Antonia",,,,,,,,,10.1159/000542505,biopsychosocial all around the classification of chronic pain in the icd 11,10.1159/000542505,1,False
pubmed_33884400,PubMed,MEDLINE via PubMed,pubmed_audit_sensitivity,PubMed audit query,2026-04-07,2026-04-07T15:43:18+00:00,33884400.0,PMC8083197,10.1093/bmb/ldab005,Mindfulness-based interventions: an overall review.,"INTRODUCTION: This is an overall review on mindfulness-based interventions (MBIs).
SOURCES OF DATA: We identified studies in PubMed, EMBASE, CINAHL, PsycINFO, AMED, Web of Science and Google Scholar using keywords including 'mindfulness', 'meditation', and 'review', 'meta-analysis' or their variations.
AREAS OF AGREEMENT: MBIs are effective for improving many biopsychosocial conditions, including depression, anxiety, stress, insomnia, addiction, psychosis, pain, hypertension, weight control, cancer-related symptoms and prosocial behaviours. It is found to be beneficial in the healthcare settings, in schools and workplace but further research is warranted to look into its efficacy on different problems. MBIs are relatively safe, but ethical aspects should be considered. Mechanisms are suggested in both empirical and neurophysiological findings. Cost-effectiveness is found in treating some health conditions.
AREAS OF CONTROVERSY: Inconclusive or only preliminary evidence on the effects of MBIs on PTSD, ADHD, ASD, eating disorders, loneliness and physical symptoms of cardiovascular diseases, diabetes, and respiratory conditions. Furthermore, some beneficial effects are not confirmed in subgroup populations. Cost-effectiveness is yet to confirm for many health conditions and populations.
GROWING POINTS: Many mindfulness systematic reviews and meta-analyses indicate low quality of included studies, hence high-quality studies with adequate sample size and longer follow-up period are needed.
AREAS TIMELY FOR DEVELOPING RESEARCH: More research is needed on online mindfulness trainings and interventions to improve biopsychosocial health during the COVID-19 pandemic; Deeper understanding of the mechanisms of MBIs integrating both empirical and neurophysiological findings; Long-term compliance and effects of MBIs; and development of mindfulness plus (mindfulness+) or personalized mindfulness programs to elevate the effectiveness for different purposes.",British medical bulletin,2021-Jun-10,2021.0,Dexing Zhang | Eric K P Lee | Eva C W Mak | C Y Ho | Samuel Y S Wong,5,Dexing Zhang,"JC School of Public Health and Primary Care, The Chinese University of Hong Kong, Hong Kong SAR, China. | Thomas Jing Mindfulness Centre for Research and Training, The Chinese University of Hong Kong, Hong Kong SAR, China.",Hong Kong,eng,Journal Article | Review,biopsychosocial health | compliance | ethics | mechanisms | mindfulness-based interventions | safety,COVID-19 | Humans | Mindfulness,none_detected,https://pubmed.ncbi.nlm.nih.gov/33884400/,10.1093/bmb/ldab005,mindfulness based interventions an overall review,10.1093/bmb/ldab005,1,False
pubmed_11224862,PubMed,MEDLINE via PubMed,pubmed_audit_sensitivity,PubMed audit query,2026-04-07,2026-04-07T15:43:48+00:00,11224862.0,,10.1097/00007632-200102010-00011,Multidisciplinary biopsychosocial rehabilitation for subacute low back pain in working-age adults: a systematic review within the framework of the Cochrane Collaboration Back Review Group.,"STUDY DESIGN: A systematic review of randomized controlled trials was performed.
OBJECTIVE: To evaluate the effectiveness of multidisciplinary biopsychosocial rehabilitation for subacute low back pain among working-age adults.
SUMMARY OF BACKGROUND DATA: Multidisciplinary biopsychosocial rehabilitation programs are widely applied for patients with chronic low back pain. The multidisciplinary biopsychosocial approach for prolonged low back pain could be considered to prevent chronicity. Work site visits and a close relationship with occupational health care might produce results in terms of patients working ability.
METHODS: Reviewed randomized controlled trials as well as controlled trials were identified from electronic bibliographic databases, reference checking, and consultation with experts in the rehabilitation field. Four blinded reviewers selected the trials. Two rehabilitation specialists evaluated the clinical relevance. Two other blinded reviewers extracted the data and assessed the main results along with the methodologic quality of the studies. A qualitative analysis was performed to evaluate the level evidence.
RESULTS: Of 1808 references, only 2 relevant studies were included. Both were considered to be methodologically low-quality randomized controlled trials. The clinical relevance of the studies was sufficient. The level of scientific evidence was moderate, showing that multidisciplinary rehabilitation involving work site visit or more comprehensive occupational health care intervention helps patients return to work faster, makes sick leaves less, and alleviates subjective disability.
CONCLUSIONS: There is moderate evidence showing that multidisciplinary rehabilitation for subacute low back pain is effective, and that work site visit increases the effectiveness, but because the analyzed studies had some methodologic shortcomings, an obvious need still exists for high-quality trials in this field.",Spine,2001-Feb-01,2001.0,K Karjalainen | A Malmivaara | M van Tulder | R Roine | M Jauhiainen | H Hurri | B Koes,7,K Karjalainen,"Finnish Institute of Occupational Health, Helsinki, Finland. kaija.karjalainen@occuphealth.fi",Finland,eng,"Journal Article | Research Support, Non-U.S. Gov't | Systematic Review",,Humans | Low Back Pain | Pain Clinics | Randomized Controlled Trials as Topic | Social Support | Treatment Outcome,none_detected,https://pubmed.ncbi.nlm.nih.gov/11224862/,10.1097/00007632-200102010-00011,multidisciplinary biopsychosocial rehabilitation for subacute low back pain in working age adults a systematic review within the framework of the cochrane collaboration back review group,10.1097/00007632-200102010-00011,1,False
pubmed_9658682,PubMed,MEDLINE via PubMed,pubmed_audit_sensitivity,PubMed audit query,2026-04-07,2026-04-07T15:43:48+00:00,9658682.0,,10.1017/s1121189x00007120,[Physician-patient interactions: a comparison of analysis systems].,"OBJECTIVE: The medical interview has important diagnostic and therapeutic functions and requires the integration of doctor-centred and patient-centred interviewing techniques to collect accurate and complete biopsychosocial data from the patient. Analysis of the interaction between patient and doctors which occur during the medical interview allow to evaluate physicians' interview techniques and to eventually improve them.
OBJECTIVE: 1. To review different Interaction Analysis Systems (IAS) used to describe doctor-patient communication in terms of clinical relevance, observational strategy, reliability and behavioural and verbal contents. 2. To critically evaluate these IASs on the basis of their relevant research outcomes.
METHOD: Previous reviews on interaction and keywords for Medline research (HealthGate) listed above were utilised to collect the relevant literature.
RESULTS: Seventeen classification systems were identified and ten were discussed in a chronological order. Starting from a general sociological or psycholinguistic approach, the IASs over the years have became more specific and detailed, focusing more on the medical interview and on specific topics, such as cancer or hospital medical consultations.
CONCLUSIONS: When studying interactions in general practice medicine, it is important to define the significant units of interaction which allow to identify a ""patient-centred approach"", since this is relevant not only for obtaining reliable and complete medical and social data, but also for the recognition of patients with emotional disorders and their correct diagnosis. Listening to the patient and facilitating the expression of emotions is an important aspect of patient education too, as patients learn that talking about psychological problems to their physician is appropriate and may be therapeutic.",Epidemiologia e psichiatria sociale,1998,1998.0,L Del Piccolo,1,L Del Piccolo,"Servizio di Psicologia Medica, Università di Verona.",,ita,Comparative Study | English Abstract | Journal Article | Review,,Attitude | Attitude of Health Personnel | Cluster Analysis | Communication | Emotions | Family Practice | Interviews as Topic | Patient Education as Topic | Patients | Physician-Patient Relations | Psycholinguistics | Research | Software,none_detected,https://pubmed.ncbi.nlm.nih.gov/9658682/,10.1017/s1121189x00007120,physician patient interactions a comparison of analysis systems,10.1017/s1121189x00007120,1,False
pubmed_36428425,PubMed,MEDLINE via PubMed,pubmed_audit_sensitivity,PubMed audit query,2026-04-07,2026-04-07T15:43:14+00:00,36428425.0,PMC9686667,10.3390/ani12223199,"Reviewing a Decade of Change for Veterinarians: Past, Present and Gaps in Researching Stress, Coping and Mental Health Risks.","Veterinary medicine is a highly complex profession that includes a very specific set of stressors that range from individual to social aspects, with several of them being relevant risk factors for a variety of conditions. The aim of this systematic review was to identify and cluster the material on stressors and suicidality in the veterinarian practice published during the last 10 years. The systematic review was conducted employing the PRISMA (Preferred Reporting Items for Systematic Reviews and Meta-Analyses) guidelines using PubMed, PsycNet, Google Scholar, Medline, PsycINFO, PSYNDEX and Web of Science (2012-present) by two independent researchers resulting in the inclusion of 30 quantitative and mixed methods studies. Results of these studies on stressors were categorized using the bio-psycho-social model showing that social stressors play a prominent role. This category includes the largest number of stressors indicating that the human-human interactions in the veterinarian practice are the main stressor, underlining that training in communication techniques is a potential starting point for interventions. In addition to stressors, the results showed an additional category ""psychological consequences"" describing mental health disorders and suicide. Although there are still gaps in research there is enough evidence to establish more tailored health promotion measures for veterinarians.",Animals : an open access journal from MDPI,2022-Nov-18,2022.0,Birgit Ursula Stetina | Christine Krouzecky,2,Birgit Ursula Stetina,"Faculty of Psychology, Sigmund Freud University Vienna, Freudplatz 1, 1020 Vienna, Austria. | Psychological Outpatient Clinic, Sigmund Freud University Vienna, Welthandelsplatz 3, 1020 Vienna, Austria.",Austria,eng,Journal Article | Review,bio-psycho-social model | stress | suicide | systematic review | veterinarians,,none_detected,https://pubmed.ncbi.nlm.nih.gov/36428425/,10.3390/ani12223199,reviewing a decade of change for veterinarians past present and gaps in researching stress coping and mental health risks,10.3390/ani12223199,1,False
pubmed_31004786,PubMed,MEDLINE via PubMed,pubmed_audit_sensitivity,PubMed audit query,2026-04-07,2026-04-07T15:43:22+00:00,31004786.0,,10.1016/j.jpain.2019.04.003,AAPT Diagnostic Criteria for Chronic Painful Temporomandibular Disorders.,"The classification of temporomandibular disorders (TMD) has progressed substantially over the past 25 years owing to the strategic implementation of an initial classification system based on core taxonomic principles. In this article, we describe the development of the Diagnostic Criteria for Temporomandibular Disorders (DC/TMD) and its translation into the multidimensional Analgesic, Anesthetic, and Addiction Clinical Trial Translations Innovations Opportunities and Networks-AAPT for chronic pain disorders. The initial scientific classification system (Research Diagnostic Criteria for Temporomandibular Disorders) relied on a boot-strapping process that did not attempt to solve all known clinical problems but, rather, focused on problems that could be solved at that time. The core design principles included using epidemiologic data, operationalized concepts, reliable methods, and the incorporation of the biopsychosocial model into a dual axis system. This system led to sufficient data collection internationally that the system itself could be revised, first by critical evaluation of all aspects, second by review from invited experts, and third by the construction of a revised taxonomy (DC/TMD) that maintained the core design principles of the Research Diagnostic Criteria for Temporomandibular Disorders. The resultant disorders with pain as a dominant feature exhibit substantial sensitivity and specificity, and they have been translated into the AAPT framework. The AAPT TMD criteria are part of an evidence-based classification system providing a systematic structure that includes 5 dimensions: diagnostic criteria, common features, comorbidities, consequences, and putative mechanisms. Future research will attempt to extend this AAPT domain from solely TMDs to include other orofacial pain conditions. PERSPECTIVE: The painful TMDs have well-established sensitivity and specificity, as based on the DC/TMD; their translation to the AAPT framework for chronic pain conditions provides a structure for consistent clinical application within the broader health care settings and for future research on the TMDs.",The journal of pain,2019-Nov,2019.0,Richard Ohrbach | Samuel F Dworkin,2,Richard Ohrbach,"Department of Oral Diagnostic Sciences, University at Buffalo, Buffalo, New York. Electronic address: ohrbach@buffalo.edu. | Departments of Psychiatry and Behavioral Sciences, and Oral Medicine, Schools of Medicine and Dentistry, University of Washington (Emeritus), Seattle, Washington.",,eng,Journal Article | Review,Pain | TMD | biopsychosocial | taxonomy,Chronic Pain | Humans | Temporomandibular Joint Disorders,none_detected,https://pubmed.ncbi.nlm.nih.gov/31004786/,10.1016/j.jpain.2019.04.003,aapt diagnostic criteria for chronic painful temporomandibular disorders,10.1016/j.jpain.2019.04.003,1,False
