record_id,pmid,pmcid,doi,title,journal,year,icd11_pain_category,musculoskeletal_flag,review_type,provisional_typology,conceptual_problem_flags,psychological_concepts_detected,theoretical_frameworks_detected,stage3_priority,coding_rationale,fulltext_status,retrieval_source,fulltext_word_count,fulltext_checked_utc,manual_retrieval_needed,manual_relevance_priority,manual_relevance_flags,osf_manual_adjudication_required,pubmed_url,cached_xml_path,cached_text_path,reviewer_a_domain_coverage_bio,reviewer_a_domain_coverage_psych,reviewer_a_domain_coverage_social,reviewer_b_domain_coverage_bio,reviewer_b_domain_coverage_psych,reviewer_b_domain_coverage_social,reviewer_a_integration_triadic,reviewer_b_integration_triadic,reviewer_a_bps_typology,reviewer_b_bps_typology,reviewer_a_notes,reviewer_b_notes,adjudicated_integration_triadic,adjudicated_bps_typology,adjudication_notes
pubmed_25953594,25953594.0,,10.2522/ptj.20140575,Addressing Neuroplastic Changes in Distributed Areas of the Nervous System Associated With Chronic Musculoskeletal Disorders.,Physical therapy,2015.0,chronic secondary musculoskeletal pain,yes,systematic review,potential integrative signal,none,,,high,Structured Stage 2 output required deterministic field repair for omitted items.,manual_retrieval_required,none,0,2026-04-07T20:02:14+00:00,yes,medium,,yes,https://pubmed.ncbi.nlm.nih.gov/25953594.0/,,,,,,,,,,,,,,,,,
pubmed_7866373,7866373.0,,10.1007/BF00433377,Pain and suffering: what is the unit?,"Quality of life research : an international journal of quality of life aspects of treatment, care and rehabilitation",1994.0,chronic secondary musculoskeletal pain,yes,narrative or expert review,multifactorial signal,missing_biology,anxiety,,high,Structured Stage 2 output required deterministic field repair for omitted items.,manual_retrieval_required,none,0,2026-04-07T20:02:14+00:00,yes,medium,chronicity_not_explicit,yes,https://pubmed.ncbi.nlm.nih.gov/7866373.0/,,,,,,,,,,,,,,,,,
pubmed_38470686,38470686.0,PMC10931313,10.3390/healthcare12050575,Etiologic Factors of Temporomandibular Disorders: A Systematic Review of Literature Containing Diagnostic Criteria for Temporomandibular Disorders (DC/TMD) and Research Diagnostic Criteria for Temporomandibular Disorders (RDC/TMD) from 2018 to 2022.,"Healthcare (Basel, Switzerland)",2024.0,chronic secondary headache or orofacial pain,unclear,systematic review,rhetorical label signal,tokenistic_bps | vague_definition | missing_biology,depression | anxiety | stress,,medium,Structured Stage 2 output required deterministic field repair for omitted items.,pmc_fulltext_cached,stage2_existing_pmcid,13294,2026-04-07T20:02:14+00:00,no,low,,yes,https://pubmed.ncbi.nlm.nih.gov/38470686.0/,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC10931313.xml,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC10931313.txt,,,,,,,,,,,,,,,
pubmed_40170347,40170347.0,PMC11962237,10.1002/ejp.70016,Conversational Agents to Support Pain Management: A Scoping Review.,"European journal of pain (London, England)",2025.0,mixed or unspecified chronic pain,yes,scoping or mapping review,pseudo-bps or partial signal,tokenistic_bps | parallel_listing_without_integration | mechanistic_absence,coping,,high,Structured Stage 2 output required deterministic field repair for omitted items.,pmc_fulltext_cached,stage2_existing_pmcid,14161,2026-04-07T20:02:14+00:00,no,medium,chronicity_not_explicit,yes,https://pubmed.ncbi.nlm.nih.gov/40170347.0/,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC11962237.xml,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC11962237.txt,,,,,,,,,,,,,,,
pubmed_28947182,28947182.0,,10.1016/j.pnpbp.2017.09.022,"Pain, aging and dementia: Towards a biopsychosocial model.",Progress in neuro-psychopharmacology & biological psychiatry,2018.0,mixed or unspecified chronic pain,unclear,systematic review,pseudo-bps or partial signal,missing_social,depression,,medium,Structured Stage 2 output required deterministic field repair for omitted items.,manual_retrieval_required,none,0,2026-04-07T20:02:14+00:00,yes,medium,,yes,https://pubmed.ncbi.nlm.nih.gov/28947182.0/,,,,,,,,,,,,,,,,,
pubmed_39468650,39468650.0,PMC11514884,10.1186/s41927-024-00430-6,What are the functional and clinical characteristics shared by fibromyalgia and low back pain? A scoping review.,BMC rheumatology,2024.0,chronic primary pain,yes,scoping or mapping review,multifactorial signal,parallel_listing_without_integration | mechanistic_absence,fear-avoidance | coping | depression | anxiety | illness perception | stress,,high,Structured Stage 2 output required deterministic field repair for omitted items.,pmc_fulltext_cached,stage2_existing_pmcid,18470,2026-04-07T20:02:14+00:00,no,low,,yes,https://pubmed.ncbi.nlm.nih.gov/39468650.0/,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC11514884.xml,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC11514884.txt,,,,,,,,,,,,,,,
pubmed_27344405,27344405.0,,10.1016/j.mayocp.2016.04.029,"Chronic Pain and Mental Health Disorders: Shared Neural Mechanisms, Epidemiology, and Treatment.",Mayo Clinic proceedings,2016.0,mixed or unspecified chronic pain,unclear,narrative or expert review,potential integrative signal,none,fear-avoidance | depression | anxiety | acceptance | substance use | suicide,fear-avoidance model,medium,Structured Stage 2 output required deterministic field repair for omitted items.,manual_retrieval_required,none,0,2026-04-07T20:02:14+00:00,yes,medium,,yes,https://pubmed.ncbi.nlm.nih.gov/27344405.0/,,,,,,,,,,,,,,,,,
pubmed_24405725,24405725.0,PMC3907141,10.1186/1471-2474-15-10,"Are depression, anxiety and poor mental health risk factors for knee pain? A systematic review.",BMC musculoskeletal disorders,2014.0,chronic secondary musculoskeletal pain,yes,systematic review,multifactorial signal,parallel_listing_without_integration | mechanistic_absence,depression | anxiety,,high,Structured Stage 2 output required deterministic field repair for omitted items.,pmc_fulltext_cached,stage2_existing_pmcid,13926,2026-04-07T20:02:14+00:00,no,medium,chronicity_not_explicit,yes,https://pubmed.ncbi.nlm.nih.gov/24405725.0/,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC3907141.xml,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC3907141.txt,,,,,,,,,,,,,,,
pubmed_28371175,28371175.0,,10.1002/msc.1191,Exercise for chronic musculoskeletal pain: A biopsychosocial approach.,Musculoskeletal care,2017.0,chronic secondary musculoskeletal pain,yes,narrative or expert review,potential integrative signal,none,catastrophizing | anxiety,,high,Structured Stage 2 output required deterministic field repair for omitted items.,manual_retrieval_required,none,0,2026-04-07T20:02:14+00:00,yes,medium,,yes,https://pubmed.ncbi.nlm.nih.gov/28371175.0/,,,,,,,,,,,,,,,,,
pubmed_36706441,36706441.0,PMC10398738,10.1089/jpm.2022.0571,Top Ten Tips Palliative Care Clinicians Should Know About Behavioral Pain Management for Persistent Pain.,Journal of palliative medicine,2023.0,mixed or unspecified chronic pain,unclear,narrative or expert review,potential integrative signal,missing_biology,,,medium,Structured Stage 2 output required deterministic field repair for omitted items.,pmc_fulltext_low_content_manual_check,stage2_existing_pmcid,15,2026-04-07T20:02:14+00:00,yes,medium,,yes,https://pubmed.ncbi.nlm.nih.gov/36706441.0/,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC10398738.xml,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC10398738.txt,,,,,,,,,,,,,,,
pubmed_17420400,17420400.0,,10.1212/01.wnl.0000259085.61898.9e,The impact of neuropathic pain on health-related quality of life: review and implications.,Neurology,2007.0,chronic secondary musculoskeletal pain,yes,meta-analysis,pseudo-bps or partial signal,parallel_listing_without_integration | mechanistic_absence,,,high,Structured Stage 2 output required deterministic field repair for omitted items.,manual_retrieval_required,none,0,2026-04-07T20:02:14+00:00,yes,medium,chronicity_not_explicit,yes,https://pubmed.ncbi.nlm.nih.gov/17420400.0/,,,,,,,,,,,,,,,,,
pubmed_26614718,26614718.0,,10.1016/j.mcna.2015.08.007,Biopsychosocial Approach to Assessing and Managing Patients with Chronic Pain.,The Medical clinics of North America,2016.0,mixed or unspecified chronic pain,unclear,narrative or expert review,rhetorical label signal,vague_definition | tokenistic_bps | missing_biology,depression,,medium,Structured Stage 2 output required deterministic field repair for omitted items.,manual_retrieval_required,none,0,2026-04-07T20:02:14+00:00,yes,medium,,yes,https://pubmed.ncbi.nlm.nih.gov/26614718.0/,,,,,,,,,,,,,,,,,
pubmed_26600874,26600874.0,PMC4643870,10.1177/1756285615605699,An update on the management of post-traumatic headache.,Therapeutic advances in neurological disorders,2015.0,chronic postsurgical or posttraumatic pain,yes,narrative or expert review,pseudo-bps or partial signal,parallel_listing_without_integration | mechanistic_absence | missing_biology,anxiety,,high,Structured Stage 2 output required deterministic field repair for omitted items.,pmc_fulltext_low_content_manual_check,stage2_existing_pmcid,8,2026-04-07T20:02:14+00:00,yes,medium,,yes,https://pubmed.ncbi.nlm.nih.gov/26600874.0/,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC4643870.xml,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC4643870.txt,,,,,,,,,,,,,,,
pubmed_39137213,39137213.0,PMC11321572,10.1371/journal.pone.0308625,Is educational attainment associated with the onset and outcomes of low back pain? a systematic review and meta-analysis.,PloS one,2024.0,chronic secondary musculoskeletal pain,yes,meta-analysis,pseudo-bps or partial signal,parallel_listing_without_integration | mechanistic_absence,,,high,Structured Stage 2 output required deterministic field repair for omitted items.,pmc_fulltext_cached,stage2_existing_pmcid,11499,2026-04-07T20:02:14+00:00,no,medium,chronicity_not_explicit,yes,https://pubmed.ncbi.nlm.nih.gov/39137213.0/,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC11321572.xml,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC11321572.txt,,,,,,,,,,,,,,,
pubmed_26148424,26148424.0,,10.1111/ajd.12365,Current concepts in vulvodynia with a focus on pathogenesis and pain mechanisms.,The Australasian journal of dermatology,2016.0,chronic primary pain,yes,narrative or expert review,pseudo-bps or partial signal,tokenistic_bps | parallel_listing_without_integration | mechanistic_absence,depression | anxiety,,high,Structured Stage 2 output required deterministic field repair for omitted items.,manual_retrieval_required,none,0,2026-04-07T20:02:14+00:00,yes,medium,,yes,https://pubmed.ncbi.nlm.nih.gov/26148424.0/,,,,,,,,,,,,,,,,,
pubmed_32988440,32988440.0,,10.1071/HC19117,Six things you need to know about low back pain.,Journal of primary health care,2020.0,chronic secondary musculoskeletal pain,yes,narrative or expert review,pseudo-bps or partial signal,tokenistic_bps | parallel_listing_without_integration | mechanistic_absence | missing_biology,,,high,Structured Stage 2 output required deterministic field repair for omitted items.,manual_retrieval_required,none,0,2026-04-07T20:02:14+00:00,yes,medium,chronicity_not_explicit,yes,https://pubmed.ncbi.nlm.nih.gov/32988440.0/,,,,,,,,,,,,,,,,,
pubmed_41105043,41105043.0,PMC12533558,10.1111/ejn.70275,Pain Perception and Modulation: Fundamental Neurobiology and Recent Advances.,The European journal of neuroscience,2025.0,mixed or unspecified chronic pain,yes,narrative or expert review,pseudo-bps or partial signal,missing_social,,,high,Structured Stage 2 output required deterministic field repair for omitted items.,pmc_fulltext_cached,stage2_existing_pmcid,16311,2026-04-07T20:02:14+00:00,no,low,,yes,https://pubmed.ncbi.nlm.nih.gov/41105043.0/,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC12533558.xml,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC12533558.txt,,,,,,,,,,,,,,,
pubmed_26096090,26096090.0,,10.1016/j.berh.2015.04.005,How to investigate: Chronic pain.,Best practice & research. Clinical rheumatology,2014.0,mixed or unspecified chronic pain,unclear,narrative or expert review,rhetorical label signal,tokenistic_bps | vague_definition | missing_biology,,,medium,Structured Stage 2 output required deterministic field repair for omitted items.,manual_retrieval_required,none,0,2026-04-07T20:02:14+00:00,yes,medium,,yes,https://pubmed.ncbi.nlm.nih.gov/26096090.0/,,,,,,,,,,,,,,,,,
